 [颗粒剂],湖北
复方三维B（Ⅱ）, [注射剂],吉林
胸腺肽, [注射剂],吉林
胃乐新颗粒, ,吉林
复方活脑舒胶囊, ,吉林
肝胆舒康胶囊, ,吉林
脑络通胶囊, ,吉林
月芝软胶囊, ,吉林
精制冠心胶囊, ,吉林
海丹胶囊, ,吉林
消渴清颗粒, ,吉林
复方麝香注射液, ,吉林
降糖甲片, ,吉林
参蛇偏瘫胶囊, ,吉林
参一胶囊, ,吉林
疏清颗粒, ,吉林
羚贝止咳糖浆, ,吉林
溶栓胶囊, ,吉林
脑塞通丸, ,吉林
冠心安滴丸, ,吉林
利心丸, ,吉林
海贝胃疡胶囊, ,吉林
金咳息胶囊, ,吉林
圣.约翰草提取物片, ,吉林
抗感解毒胶囊, ,吉林
黄芩茎叶解毒胶囊, ,吉林
舒痔丸, ,吉林
清胃止痛微丸, ,吉林
润肠胶囊, ,吉林
蛭蛇通络胶囊, ,吉林
复方鹿茸健骨胶囊, ,吉林
大株红景天胶囊(注射液), ,吉林
降糖舒胶囊, ,吉林
牛磺熊去氧胆酸, [口服常释剂型],江西
抑亢散, ,吉林
经前舒颗粒, ,吉林
复方苦参肠炎康片, ,吉林
消咳宁片, ,吉林
脂降宁片, ,吉林
脑心安胶囊, ,吉林
心舒乐片, ,吉林
降糖胶囊, ,吉林
枣参安神胶囊, ,吉林
司他斯汀, [口服常释剂型],江西
益宫颗粒, ,吉林
慈航丸, ,吉林
清脑止痛胶囊, ,吉林
止痛风湿丸, ,吉林
胃舒宁颗粒, ,吉林
舒筋胶囊, ,吉林
荨麻疹丸, ,吉林
胚宝胶囊, ,吉林
参芪云芝颗粒, ,吉林
血府逐瘀软胶囊, ,吉林
追风舒经活血片, ,吉林
接骨续筋片, ,吉林
中风再造丸, ,吉林
天麻醒脑胶囊, ,吉林
复方肾炎片, ,吉林
尿毒灵软膏, ,吉林
千柏鼻炎片, ,吉林
振源口服液, ,吉林
射干利咽口服液, ,吉林
紫星康泰口服液, ,吉林
颈康片, ,吉林
复方荜茇止痛胶囊, ,吉林
麝香壮骨膏, ,吉林
参威口服液, ,吉林
玉屏风口服液, ,吉林
麻杏止咳片, ,吉林
健胃消食片, ,吉林
咳特灵胶囊, ,吉林
舒肝益脾颗粒, ,吉林
芩连胶囊, ,吉林
冬菀止咳颗粒, ,江西
肾肝宁胶囊, ,江西
板蓝根糖浆, ,吉林
珍石烧伤膏, ,吉林
牡荆油胶丸, ,吉林
平溃散, ,吉林
杜蛭丸, ,吉林
天麻头风灵胶囊, ,吉林
复方金银花颗粒, ,吉林
降酶灵胶囊, ,吉林
达立通颗粒, ,江西
健脾八珍糕, ,江西
藿香正气滴丸, ,江西
复方芩兰口服液, ,江西
肠炎宁片（糖浆）, ,江西
注射用丹参, ,江西
参仙升脉口服液, ,江西
心脉隆注射液, ,江西
注射用红花黄色素, ,江西
维血康颗粒, ,江西
复方卡托普利, [口服常释剂型],江西
参芎葡萄糖, [注射剂],江西
咳露口服液, ,江西
正柴胡饮合剂, ,江西
清火胶囊, ,江西
丹参益心胶囊, ,江西
地奥心血康软胶囊, ,江西
心欣舒胶囊, ,江西
灯盏花素滴丸, ,江西
慢肾宁合剂, ,江西
依那普利氢氯噻嗪, [口服常释剂型],江西
复方甘露醇, [注射剂],江西
辅酶Q10, [口服常释剂型],江西
硝呋太尔, [口服常释剂型],江西
呋布西林, [注射剂],江西
胎盘多肽, [注射剂],江西
紫杉醇脂质体, [注射剂],江西
戊酸雌二醇/雌二醇环丙孕酮, [口服常释剂型],江西
夫西地酸, ,江西
超短效人胰岛素类似物, ,江西
12种复合维生素, [注射剂],江西
氨咖黄敏, [口服液体剂],江西
头孢匹胺, [注射剂],江西
羧苄西林, [注射剂],江西
头孢克洛, [口服液体剂],江西
利妥昔单抗, [注射剂],江西
卡介菌多糖核酸, [注射剂],江西
头孢硫脒, ,江西
米卡芬净, ,江西
多西他赛, ,江西
依托考昔, [口服常释剂型],江西
地佐辛, [注射剂],江西
复方氨维, [口服常释剂型],江西
复方氨基酸（8-11）, [口服常释剂型],江西
艾普拉唑, [口服常释剂型],江西
苦参素, [口服常释剂型],江西
洛铂, ,江西
异甘草酸镁, ,江西
醒脑静注射液, ,江西
益血生胶囊, ,江西
血宁片, ,江西
柏子仁丸, ,江西
炔雌醇环丙孕酮, [口服常释剂型],江西
复方氨基酸(18-B), [注射剂],江西
磷酸铝, [凝胶剂],江西
胸腺肽a1, ,江西
法舒地尔, ,江西
纳美芬, ,江西
虫草菌发酵制剂, ,江西
化癥回生口服液, ,江西
冠心静胶囊（片), ,江西
安康颗粒, ,江西
