 [颗粒剂],湖北
厄他培南, [注射剂],内蒙古
水解蛋白, [注射剂],内蒙古
颈腰康胶囊, ,内蒙古
沙参止咳汤散, ,内蒙古
清肺十三味散, ,内蒙古
顺气安神丸, ,内蒙古
帕歌斯片, ,内蒙古
龙金通淋胶囊, ,内蒙古
猴头健胃灵胶囊(片), ,内蒙古
晕痛定胶囊, ,内蒙古
妇科养荣胶囊, ,内蒙古
抗妇炎胶囊, ,内蒙古
益气活血颗粒, ,内蒙古
可达灵片, ,内蒙古
檀香清肺二十味丸, ,内蒙古
七味葡萄散, ,内蒙古
舒筋通络颗粒, ,内蒙古
白蔻调中丸, ,内蒙古
稳压胶囊, ,内蒙古
养血当归颗粒, ,内蒙古
复方熊胆滴眼液, ,内蒙古
百仙妇炎清栓, ,内蒙古
地奥心血康软胶囊, ,内蒙古
四季抗病毒合剂（胶囊）, ,内蒙古
蓝芩颗粒, ,内蒙古
肝爽颗粒, ,内蒙古
咳露口服液, ,内蒙古
舒肝宁注射液, ,内蒙古
肝喜乐片, ,内蒙古
六味五灵片, ,内蒙古
舒肝益脾颗粒, ,内蒙古
肉蔻五味散, ,内蒙古
草果健脾散, ,内蒙古
止血宝颗粒, ,内蒙古
安络化纤丸, ,内蒙古
抗感解毒颗粒, ,内蒙古
胆木浸膏胶囊(片、糖浆), ,内蒙古
胃得安胶囊, ,内蒙古
黄芪精颗粒, ,内蒙古
肠炎宁片, ,内蒙古
消结安胶囊, ,内蒙古
鼻康片, ,内蒙古
阿魏五味散, ,内蒙古
大株红景天注射液(胶囊), ,内蒙古
金糖宁胶囊, ,内蒙古
心脉隆注射液, ,内蒙古
冠心泰丸, ,内蒙古
仙桂胶囊, ,内蒙古
养心定悸口服液, ,内蒙古
溶栓胶囊, ,内蒙古
葛酮通络胶囊, ,内蒙古
参仙升脉口服液, ,内蒙古
清热消炎宁片, ,内蒙古
肝复颗粒, ,内蒙古
龙生蛭胶囊, ,内蒙古
冠心静胶囊（片）, ,内蒙古
芪药消渴胶囊, ,内蒙古
活血胶囊, ,内蒙古
心脑静片, ,内蒙古
血必净注射液, ,内蒙古
瓜蒌皮注射液, ,内蒙古
益脑宁片, ,内蒙古
龙胆泻肝口服液（软胶囊）, ,内蒙古
柴芩清宁胶囊, ,内蒙古
黄芩胶囊, ,内蒙古
清开灵软胶囊（滴丸）, ,内蒙古
苁蓉总苷胶囊, ,内蒙古
虎地肠溶胶囊, ,内蒙古
滑膜炎片, ,内蒙古
可明胶囊, ,内蒙古
顺气补心十一味丸, ,内蒙古
羚羊角二十五味丸, ,内蒙古
麦冬十三味丸, ,内蒙古
五味清浊丸, ,内蒙古
甘海胃康胶囊, ,内蒙古
复方麝香注射液, ,内蒙古
肾肝宁胶囊, ,内蒙古
小儿肺热咳喘口服液, ,内蒙古
鼻炎糖浆, ,内蒙古
芩黄喉症胶囊, ,内蒙古
桔梗八味颗粒, ,内蒙古
安神补心六味丸, ,内蒙古
清血八味散, ,内蒙古
暖宫七味丸, ,内蒙古
阿拉坦五味散, ,内蒙古
沉香十七味丸, ,内蒙古
参竹精颗粒, ,内蒙古
六味木香散, ,内蒙古
灯银脑通胶囊, ,内蒙古
慢肾宁合剂, ,内蒙古
灵芝滴丸, ,内蒙古
益心酮, ,内蒙古
胃蛋白酶, [口服液体剂],青海
利妥昔单抗, [注射剂],青海
健胃止痛五味胶囊, ,内蒙古
风湿三味丸, ,内蒙古
阿魏八味丸, ,内蒙古
醒脑安神片, ,内蒙古
三七养血胶囊, ,内蒙古
灵莲花颗粒, ,内蒙古
心欣舒胶囊, ,内蒙古
速效心痛喷雾剂, ,内蒙古
多酶, [口服常释剂型],青海
尿多酸肽, [注射剂],青海
肌氨肽苷, [注射剂],青海
小牛血清去蛋白, [注射剂],青海
复方咖磷, [颗粒剂],青海
脑苷肌肽, [注射剂],青海
转化糖电解质, [注射剂],青海
纳洛酮, [口服常释剂型],青海
柠檬烯, [口服常释剂型],青海
贝凡洛尔, [口服常释剂型],青海
德都红花七味丸, ,内蒙古
清热二十三味散, ,内蒙古
小牛血去蛋白提取物, [注射剂],青海
复方甘露醇, [注射剂],青海
尼莫地平, [缓释控释剂型],青海
木糖醇, [注射剂],青海
阿司匹林双嘧达莫, [口服常释剂型],青海
马来酸右旋噻吗洛尔, [滴眼剂],青海
复方联苯双酯, [口服常释剂型],青海
氧化樟脑, [注射剂],青海
升阳十一味丸, ,内蒙古
草果四味汤散, ,内蒙古
清肝二十七味丸, ,内蒙古
参竹精片, ,内蒙古
益心康泰胶囊, ,内蒙古
红花如意丸, ,内蒙古
清热八味胶囊, ,内蒙古
给喜古纳丸, ,内蒙古
槟榔七味丸, ,内蒙古
明目十六味丸, ,内蒙古
槟榔十三味丸, ,内蒙古
石膏二十五味散, ,内蒙古
痔瘘六味散, ,内蒙古
八味獐牙菜丸, ,内蒙古
寒水石小灰散, ,内蒙古
扫日劳四味胶囊, ,内蒙古
玉簪清咽十五味丸, ,内蒙古
珍珠活络二十九味丸, ,内蒙古
祛痛橡胶膏, ,内蒙古
八味清心沉香散, ,内蒙古
十六味冬青丸, ,内蒙古
伤湿止痛膏, ,内蒙古
清脑止痛胶囊, ,内蒙古
开郁舒肝丸, ,内蒙古
调经丸, ,内蒙古
莉芙敏片, ,内蒙古
金菌灵胶囊, ,内蒙古
桉柠蒎, [口服常释剂型],青海
乳酸菌素, [口服常释剂型],青海
复方氨茶碱, [口服常释剂型],青海
肝水解肽, [注射剂],青海
复合辅酶, [注射剂],青海
木耳舒筋丸, ,内蒙古
强筋健骨胶囊, ,内蒙古
伊血安颗粒, ,内蒙古
苏子油软胶囊, ,内蒙古
氨溴索, [泡腾片],青海
复方氨基丁酸维E, [口服常释剂型],青海
雷莫司琼, [注射剂],青海
可待因桔梗, [口服常释剂型],青海
辅酶Q10, [口服常释剂型],青海
环磷腺苷葡胺, [注射剂],青海
阿魏酸钠, [注射剂],青海
炎琥宁, [注射剂],青海
利福定, [口服常释剂型],青海
高乌甲素, [注射剂],青海
双氯芬酸利多卡因, [注射剂],青海
五水头孢唑林, [注射剂],青海
阿莫西林, [注射剂],青海
羧苄西林, [注射剂],青海
大山楂丸, ,青海
十味黑冰片散, ,青海
三磷酸腺苷, [注射剂],青海
穿琥宁, [注射剂],青海
复方别嘌醇, [口服常释剂型],青海
甲硝唑, [缓释控释剂型],青海
阿司匹林, [缓释控释剂型],青海
头孢甲肟, [注射剂],青海
萘夫西林, [注射剂],青海
安妥沙星, [口服常释剂型],青海
五味甘露药浴汤散, ,青海
八味狼牙菜丸, ,青海
二十五味驴血丸, ,青海
安置精华散, ,青海
八味主药散, ,青海
九味牛黄丸, ,青海
十味诃子片（丸）, ,青海
复方甘草氯化铵, [口服常释剂型],青海
安眠酮, [口服常释剂型],青海
西替利嗪, [口服液体剂],青海
六味五灵片, ,青海
渴络欣胶囊, ,青海
芪风颗粒, ,青海
帕珠丸, ,青海
三臣散, ,青海
松石丸（有）, ,青海
十味消食散, ,青海
长春胺, [缓释控释剂型],青海
阿扎司琼, [注射剂],青海
酮替芬, [口服液体剂],青海
注射用益气复脉(冻干), ,青海
哌泊塞嗪, [注射剂],青海
磷酸肌酸钠, [粉针剂],青海
创可贴, [贴剂],青海
维生素E, [胶丸;注射液;口服常释剂型],青海
肾上腺色腙（安络血）, [片剂;注射液],青海
复方卡托普利, [片剂],青海
小儿氨酚黄那敏, [颗粒剂],青海
贞芪扶正胶囊, ,青海
参桂再造丸, ,青海
重组改构人肿瘤坏死因子, [注射剂],青海
蒙脱石, [口服常释剂型],青海
复方骨肽, [注射液],青海
卡介菌多糖核酸, [注射液],青海
丁丙诺啡, [注射液],青海
精氨酸阿司匹林, [粉针剂],青海
葡萄糖酸钙锌, [口服液],青海
健胃消食片, ,青海
肠胃舒胶囊, ,青海
腰腿痛丸, ,青海
藻酸双酯钠, [注射剂],青海
葡萄糖氯化钙, [注射剂],青海
卡络磺钠, [注射剂],青海
醋甲唑胺, [口服常释剂型],青海
复方酮康唑, [软膏剂],青海
门冬氨酸鸟氨酸, [颗粒剂],青海
吗啉胍, [口服常释剂型],青海
氧氟沙星甘露醇, [注射剂],青海
氨苄西林氯唑西林, [注射剂],青海
环酯红霉素, [口服常释剂型],青海
帕珠沙星, [注射剂],青海
头孢曲松他唑巴坦, [注射剂],青海
复方氧化锌, [软膏剂],青海
复方氯解磷定, [注射剂],青海
重组人干扰素α1b, [滴眼剂],青海
特拉唑嗪, [丸剂],青海
左旋咪唑, [口服常释剂型],青海
哌替啶, [口服常释剂型],青海
头孢地嗪, [注射剂],青海
罗红霉素, [颗粒剂],青海
头孢匹胺, [注射剂],青海
胎盘多肽, [注射剂],青海
抗乙肝免疫核糖核酸, [注射剂],青海
吉非替尼, [口服常释剂型],青海
培美曲塞, [注射剂],青海
维生素AD, [口服常释剂型],青海
骨化三醇, [注射剂],青海
痔炎消片, ,青海
人参多糖注射液, ,青海
海利升注射液, ,青海
氟吡汀, [口服常释剂型],青海
巴利昔单抗, [注射剂],青海
胸腺肽, [口服常释剂型],青海
紫杉醇脂质体, [注射剂],青海
薄芝糖肽, [注射剂],青海
雌二醇, [口服常释剂型],青海
戊酸雌二醇雌二醇环丙孕酮, [口服常释剂型],青海
肛安软膏, ,青海
药艾条, ,青海
陇马陆胃药片, ,青海
脾多肽, [注射剂],青海
重组人干扰素γ, [注射剂],青海
小牛脾提取物, [注射剂],青海
18种氨基酸, [注射剂],青海
双异丙酚, [注射剂],青海
依降钙素, [注射剂],青海
复方支链氨基酸, [颗粒剂],青海
橡皮生肌膏, ,青海
生白口服液, ,青海
注射用红花黄色素, ,青海
十味乳香胶囊, ,青海
复方三七片, ,青海
香菇多糖, [注射剂],青海
复方氨基酸(18AA-N), [注射剂],青海
米格列奈, [口服常释剂型],青海
地塞米松, [缓释控释剂型],青海
生肌散, ,青海
石淋通胶囊, ,青海
七味胃痛胶囊, ,青海
沙棘干乳剂, ,青海
肾康栓, ,青海
跌打活血胶囊, ,青海
山莨菪麝香膏, ,青海
双黄止痒洗液, ,青海
克痒舒洗液, ,青海
小儿肺热咳喘口服液, ,青海
板蓝根泡腾片, ,青海
清肝利胆口服液, ,青海
心舒胶囊, ,青海
灯盏花颗粒, ,青海
小儿感冒颗粒, ,青海
云南红药胶囊, ,青海
强筋健骨丸, ,青海
归芍调经片, ,青海
消结安胶囊, ,青海
小儿利湿止泻颗粒, ,青海
黄芩茎叶解毒胶囊, ,青海
血必净注射液, ,青海
心脉隆注射液, ,青海
复方枣仁胶囊, ,青海
复方气管炎片（胶囊）, ,青海
龙牡壮骨颗粒, ,青海
中华跌打丸, ,青海
肠炎宁片（薄膜衣片）, ,青海
消糜栓, ,青海
大月晶丸, ,青海
九味青鹏散, ,青海
二十九味能消散, ,青海
二十五味竺黄散, ,青海
风湿止痛丸, ,青海
海昆肾喜胶囊, ,青海
金蝉止痒胶囊, ,青海
鲜竹沥口服液, ,青海
复方苦参洗剂, ,青海
小儿清肺化痰片（颗粒、口服液）, ,青海
十五味赛尔斗丸, ,青海
十六味杜鹃散, ,青海
四味止泻木汤散, ,青海
九味獐牙菜丸, ,青海
十一味能消胶囊, ,青海
小儿清咽颗粒, ,青海
复方草珊瑚含片, ,青海
洁尔阴洗液, ,青海
当归腹痛宁滴丸, ,青海
明目二十五味丸, ,青海
复方止咳胶囊, ,青海
润肺止咳合剂（胶囊）, ,青海
炎宁颗粒, ,青海
舒肝宁注射液, ,青海
复方丹蛭片, ,青海
通脉口服液, ,青海
龟龄集, ,青海
妇科养荣丸, ,青海
鼻通滴鼻剂, ,青海
孕康糖浆, ,青海
安脑牛黄胶囊, ,青海
艽龙胶囊, ,青海
金感胶囊, ,青海
达立通颗粒, ,青海
清心安神口服液, ,青海
心脑清软胶囊, ,青海
降糖通脉胶囊, ,青海
消渴清颗粒, ,青海
人胎盘组织液, [注射液],青海
头孢他啶/舒巴坦钠, [粉针剂],青海
L-谷氨酰胺哌仑酸钠（麦滋林）, [颗粒],青海
乙酰谷酰胺, [注射液],青海
小儿氨酚匹林, [口服常释剂型],青海
萘敏维, [滴眼剂],青海
聚维酮碘, [外用溶液剂],青海
桑葛降脂丸, ,青海
星瑙灵片, ,青海
利血平, [口服常释剂型],青海
三磷酸腺苷辅酶胰岛素, [注射液],青海
胸腺五肽, [粉针剂],青海
厄贝沙坦氢氯噻嗪, [片剂],青海
12种复合维生素, [粉针剂],青海
氯唑沙宗, [口服常释剂型],青海
西地碘, [口服常释剂型（含片）],青海
妇炎净胶囊, ,青海
猴头健胃灵胶囊, ,青海
天麻头风灵胶囊, ,青海
舒筋通络颗粒, ,青海
金嗓子喉片, ,青海
消白软膏, ,青海
妇科断红饮胶囊, ,青海
金贝痰咳清颗粒, ,青海
清艾条, ,青海
参蛤平喘胶囊, ,青海
复方芦荟胶囊, ,青海
氨溴索, [缓释控释剂型],青海
羧甲司坦, [颗粒剂],青海
复方天仙胶囊, ,青海
银菊清咽颗粒, ,青海
消痤丸, ,青海
滴耳油, ,青海
咳露口服液, ,青海
清开灵软胶囊, ,青海
羚贝止咳糖浆, ,青海
藿香正气滴丸, ,青海
安非他酮, [口服常释剂型],青海
阿托品异丙嗪, [注射剂],青海
枸地氯雷他定, [口服常释剂型],青海
氯苯那敏, [缓释控释剂型],青海
门冬氨酸钾镁, [口服液体剂],青海
曲克芦丁脑蛋白水解物, [注射剂],青海
氯霉素, [眼膏剂],青海
促肝细胞生长素, [颗粒剂],青海
依折麦布, [口服常释剂型],青海
氟罗沙星, [口服常释剂型],青海
复方阿苯达唑, [口服常释剂型],青海
塞克硝唑, [口服常释剂型],青海
丹皮酚磺酸钠, [注射剂],青海
脑蛋白水解物, [注射剂],青海
多糖铁复合物, [口服常释剂型],青海
吡嘧司特钾, [滴眼剂],青海
苦参碱, [注射剂],青海
复方地巴唑氢氯噻嗪, [口服常释剂型],青海
参芎葡萄糖, [注射剂],青海
苯酰甲硝唑, [口服常释剂型],青海
地佐辛, [注射剂],青海
阿莫西林氟氯西林, [注射剂],青海
头孢哌酮, [注射剂],青海
吡哌酸, [颗粒剂],青海
脱氧核苷酸, [注射剂],青海
云芝胞内糖肽, [口服常释剂型],青海
氨基酸, [注射剂],青海
复方盐酸利多卡因, [注射剂],青海
复方氨基酸（8-11）, [口服常释剂型],青海
金玄痔科熏洗散, ,青海
抗病毒软胶囊, ,青海
脑心舒口服液, ,青海
诺氟沙星, [注射剂],青海
英夫利西单抗, [注射剂],青海
氟尿嘧啶, [植入剂],青海
甘露聚糖肽, [注射剂],青海
复方氨基酸(17AA-H), [注射剂],青海
复方维生素B2, [口服常释剂型],青海
炔雌醇环丙孕酮, [口服常释剂型],青海
生血康口服液, ,青海
胃得安胶囊, ,青海
心荣胶囊, ,青海
参仙升脉口服液, ,青海
肾肝宁胶囊, ,青海
云芝肝泰胶囊（颗粒、片）, ,青海
杞天口服液, ,青海
米多君, [口服常释剂型],青海
二丁酰环磷腺甙钙, [粉针剂],青海
二乙酰氨乙酸乙二胺, [注射液],青海
盐酸甲氯芬酯, [粉针剂],青海
甲泼尼龙琥珀酸钠, [粉针剂],青海
甲硝唑磷酸二钠, [粉针剂],青海
参蛇偏瘫胶囊, ,青海
平溃散, ,青海
古汉养生精片, ,青海
吗氯贝胺, [口服常释剂型],青海
参蛇花痔疮膏, ,青海
头孢替唑钠, [粉针剂],青海
头孢孟多酯钠, [粉针剂],青海
小儿复方氨基酸, [注射液],青海
复方氨林巴比妥（安痛定）, [注射液],青海
双唑泰泡腾片, [片剂;栓剂],青海
核糖核酸, [粉针剂],青海
复方氟尿嘧啶, [口服液;注射液],青海
复方醋酸地塞米松, [外用软膏剂],青海
黄藤素片（注射液）, ,青海
妇科再造丸（胶囊）, ,青海
溶栓胶囊, ,青海
十三味榜噶散, ,青海
秘诀清凉散, ,青海
八味小檗皮胶囊, ,青海
二十六味通经胶囊, ,青海
水解蛋白, [注射液],青海
复方铝酸铋, [口服常释剂型],青海
丹参川芎嗪注射液, ,青海
感冒灵颗粒（片、胶囊）, ,青海
小儿复方鸡内金散（片）, ,青海
萨热十三味鹏鸟丸, ,青海
十一味维命胶囊, ,青海
能安均宁散, ,青海
达斯玛保丸, ,青海
八味沉香丸, ,青海
十一味金色丸, ,青海
葡甘聚糖, [口服常释剂型],山西
磷酸铝, [凝胶剂],山西
谷红, [注射剂],山西
丙戊酰胺, [口服常释剂型],山西
脑蛋白水解物, [注射剂],山西
曲克芦丁脑蛋白水解物, [注射剂],山西
转化糖电解质, [注射剂],山西
红花口服液, ,山西
灯盏花素滴丸, ,山西
十二味翼首散, ,青海
艾普拉唑, [口服常释剂型],山西
蒙脱石, [口服液体剂],山西
蕲蛇酶, [注射剂],山西
小牛血去蛋白提取物, [注射剂],山西
单唾液酸四己糖神经节苷脂, [注射剂],山西
复方氟米松, [软膏剂],山西
重组人干扰素α-2b, [凝胶剂],山西
血府逐瘀软胶囊, ,山西
独一味软胶囊, ,山西
健骨生丸, ,山西
千山活血膏, ,山西
康艾扶正片, ,山西
达立通颗粒, ,山西
艽龙胶囊, ,山西
舒肝宁注射液, ,山西
金贝痰咳清颗粒, ,山西
感冒灵颗粒, ,山西
头孢丙烯, [颗粒剂],山西
头孢哌酮, [注射剂],山西
镇痛活络酊, ,山西
益宫颗粒, ,山西
七味清咽气雾剂, ,山西
枫蓼肠胃康合剂, ,山西
安络化纤丸, ,山西
牛黄清心丸（局方）, ,山西
小儿七珍丸, ,山西
穿王消炎片, ,山西
头孢氨苄, [缓释控释剂型],山西
头孢曲松他唑巴坦, [注射剂],山西
核糖核酸Ⅱ, [注射剂],山西
卡介菌多糖核酸, [注射剂],山西
氯雷伪麻, [缓释控释剂型],山西
戊酸雌二醇/雌二醇环丙孕酮, [口服常释剂型],山西
甘露聚糖肽, [注射剂],山西
天蚕片, ,山西
苏子油软胶囊, ,山西
双藤筋骨片, ,山西
复方樟柳碱, [注射剂],山西
重组人干扰素α-2b, [滴眼剂],山西
香菇多糖, [注射剂],山西
重组改构人肿瘤坏死因子, [注射剂],山西
枸地氯雷他定, [口服常释剂型],山西
脾多肽, [注射剂],山西
胸腺五肽, [注射剂],山西
猴头健胃灵胶囊, ,山西
脂可清胶囊, ,山西
血必净注射液, ,山西
联苯苄唑, [阴道片],山西
三乙醇胺, [软膏剂],山西
吡嘧司特钾, [滴眼剂],山西
参芎葡萄糖, [注射剂],山西
乳酸亚铁, [口服常释剂型],山西
磷酸肌酸钠, [注射剂],山西
美洛昔康, [注射剂],山西
奥硝唑, [口服常释剂型],山西
12种复合维生素, [注射剂],山西
复方曲马多, [口服常释剂型],山西
胃复胶囊, ,山西
元胡胃舒胶囊, ,山西
泛硫乙胺, [口服常释剂型],山西
磺达肝癸钠, [注射剂],山西
多糖铁复合物, [口服常释剂型],山西
氟比洛芬, [巴布膏剂],山西
甲硝唑维B6, [口服常释剂型],山西
汉防己甲素, [口服常释剂型],山西
酮咯酸氨丁三醇, [注射剂],山西
头孢孟多酯, [注射剂],山西
蛭蛇通络胶囊, ,山西
蟾酥注射液, ,山西
正清风痛宁缓释片, ,山西
益心酮软胶囊, ,山西
蛭芎胶囊, ,山西
安络痛片, ,山西
骨筋丸胶囊, ,山西
郁金银屑片, ,山西
仙桃草片, ,山西
桂林西瓜霜胶囊, ,山西
藿香正气滴丸, ,山西
舒秘胶囊, ,山西
抗栓胶囊, ,山西
葛酮通络胶囊, ,山西
海马舒活膏, ,山西
云南红药胶囊, ,山西
杜仲壮骨丸, ,山西
追风舒经活血片, ,山西
香菇多糖片, ,山西
活血止痛软胶囊, ,山西
麻仁软胶囊, ,山西
脾肾两助丸, ,山西
灵莲花颗粒, ,山西
渴络欣胶囊, ,山西
芪丹通脉片, ,山西
龙生蛭胶囊, ,山西
肾肝宁胶囊, ,山西
参龙宁心胶囊, ,山西
奥替溴铵, [口服常释剂型],山西
中性蛋白酶, [口服常释剂型],山西
促肝细胞生长素, [口服常释剂型],山西
藻酸双酯钠, [注射剂],山西
注射用益气复脉（冻干）, ,山西
通脉降糖胶囊, ,山西
芪棱片, ,山西
六味五灵片, ,山西
肝喜乐胶囊, ,山西
参芪阿胶胶囊, ,山西
磷酸钠盐, [口服液体剂],山西
苦参素, [口服常释剂型],山西
凝结芽孢杆菌活菌制剂, [口服常释剂型],山西
丙戊酸钠, [口服液体剂],山西
小牛血清去蛋白, [注射剂],山西
氨溴索, [缓释控释剂型],山西
复方天麻蜜环糖肽, [口服常释剂型],山西
氟替卡松, [软膏剂],山西
氯喹那多/普罗雌烯, [阴道片],山西
复合辅酶, [注射剂],山西
依折麦布, [口服常释剂型],山西
二丁酰环磷腺苷钙, [注射剂],山西
胃肠灵胶囊, ,山西
仲景胃灵丸, ,山西
乙酰谷酰胺, [注射剂],山西
脑蛋白水解物, [口服液体剂],山西
低分子右旋糖酐氨基酸, [注射剂],山西
吲哚布芬, [口服常释剂型],山西
辅酶Q10, [口服常释剂型],山西
尼可地尔, [口服常释剂型],山西
匹伐他汀, [口服常释剂型],山西
重组人组织型纤溶酶原激酶衍生物, [注射剂],山西
复方麝香注射液, ,山西
菊蓝抗流感片, ,山西
柴连口服液, ,山西
苦甘颗粒, ,山西
心脑静片, ,山西
甘露消渴胶囊, ,山西
强肾片, ,山西
右美沙芬, [缓释混悬剂],山西
[L]-谷氨酰胺, [颗粒剂],山西
酪酸梭菌活菌制剂, [口服散剂],山西
奥拉西坦, [注射剂],山西
天麻素, [口服常释剂型],山西
正柴胡饮胶囊, ,山西
益康胶囊, ,山西
大株红景天胶囊(注射液), ,山西
复方活脑舒胶囊, ,山西
帕洛诺司琼, [注射剂],山西
猴头菌提取物, [颗粒剂],山西
特利加压素, [注射剂],山西
酪酸梭菌活菌制剂, [口服常释剂型],山西
脑苷肌肽, [注射剂],山西
门冬氨酸钾, [注射剂],山西
阿司匹林, [缓释控释剂型],山西
桉柠蒎, [口服常释剂型],山西
伊布利特, [注射剂],山西
氯唑沙宗, [口服常释剂型],山西
诺氟沙星, [注射剂],山西
科博肽, [注射剂],山西
地佐辛, [注射剂],山西
五水头孢唑林, [注射剂],山西
多廿烷醇, [口服常释剂型],山西
双氯芬酸, [吸入剂],山西
混合糖电解质, [注射剂],山西
卵磷脂络合碘, [口服常释剂型],山西
七叶皂苷, [口服常释剂型],山西
依诺沙星, [注射剂],山西
达克罗宁, [口服液体剂],山西
重组人Ⅱ型肿瘤坏死因子受体-抗体融合蛋白, [注射剂],山西
头孢替唑, [注射剂],山西
阿莫西林氟氯西林, [注射剂],山西
复方蓝棕果, [口服常释剂型],山西
复方三维B(Ⅱ), [注射剂],山西
羧苄西林, [注射剂],山西
罗红霉素, [颗粒剂],山西
培氟沙星, [口服常释剂型],山西
氟尿嘧啶, [植入剂],山西
小牛脾提取物, [注射剂],山西
左亚叶酸钙, [注射剂],山西
复方氨基酸(15)双肽(2), [注射剂],山西
因卡膦酸二钠, [注射剂],山西
强肾片, ,陕西
强力天麻杜仲胶囊, ,陕西
萘夫西林, [注射剂],山西
头孢噻利, [注射剂],山西
头孢地秦, [注射剂],山西
胎盘多肽, [注射剂],山西
抗肿瘤免疫核糖核酸, [注射剂],山西
长链脂肪乳(00), [注射剂],山西
炔雌醇环丙孕酮, [口服常释剂型],山西
柏艾胶囊, ,山西
参龙宁心胶囊, ,陕西
桑葛降脂丸, ,陕西
盘龙七药酒, ,陕西
妇科养荣胶囊(丸), ,陕西
血平胶囊, ,陕西
生肌散, ,陕西
杏灵分散片, ,陕西
平溃散, ,陕西
健胃消食口服液(片 ), ,陕西
红核妇洁洗液, ,陕西
安宫牛黄胶囊, ,山西
泻白糖浆, ,山西
海昆肾喜胶囊, ,陕西
生血康口服液, ,陕西
消石利胆胶囊, ,陕西
心速宁胶囊, ,陕西
益脑心颗粒, ,陕西
胃复宁胶囊, ,陕西
肤净康洗剂, ,陕西
洁尔阴泡腾片, ,陕西
益肺胶囊, ,山西
双金连合剂, ,山西
清开灵口服液, ,山西
咳露口服液, ,山西
舒脑欣滴丸, ,山西
冠心静胶囊(片), ,山西
全杜仲胶囊, ,山西
十六味消渴胶囊, ,山西
金蚧片, ,山西
复方甘草酸铵, [注射剂],陕西
头孢哌酮他唑巴坦, [注射剂],山西
头孢甲肟, [注射剂],山西
肝爽颗粒, ,山西
金糖宁胶囊, ,山西
九味镇心颗粒, ,山西
地黄叶总苷胶囊, ,山西
猴头菌片, ,山西
参芪消渴胶囊, ,山西
甘草酸二钠, [口服散剂],陕西
复合辅酶, [注射剂],陕西
克洛己新, [口服液体剂],山西
脱氧核苷酸, [注射剂],山西
薄芝糖肽, [注射剂],山西
斑蝥酸钠, [注射剂],山西
斑蝥酸钠维生素B6, [注射剂],山西
复方氨基酸, [口服常释剂型],山西
维D钙, [咀嚼片],山西
匹多莫德, [口服常释剂型],山西
伊班膦酸钠, [注射剂],山西
天麻醒脑胶囊, ,山西
甲芬那酸, [口服常释剂型],陕西
六维, [口服常释剂型],陕西
氨磷汀, [注射剂],山西
紫杉醇脂质体, [注射剂],山西
结构脂肪乳, [注射剂],山西
葡萄糖酸钙, [口服液体剂],山西
葡萄糖酸锌, [颗粒剂],山西
甘露聚糖肽, [口服常释剂型],山西
米格列奈, [口服常释剂型],山西
泌尿宁颗粒, ,山西
炎琥宁, [注射剂],陕西
科博肽, [注射剂],陕西
头孢丙烯, [颗粒剂],陕西
氧氟沙星, [栓剂],陕西
阿奇霉素, [口服液体剂],陕西
伊班膦酸, [注射剂],陕西
螨变应原, [注射剂],陕西
地塞米松棕榈酸酯, [注射剂],陕西
重组人干扰素γ, [注射剂],陕西
胎盘多肽, [注射剂],陕西
海昆肾喜胶囊, ,山西
参蓝口服液, ,山西
阿莫西林双氯西林, [口服常释剂型],陕西
依诺沙星, [注射剂],陕西
甘露聚糖肽, [注射剂],陕西
天麻素, [口服常释剂型],陕西
小牛血清去蛋白, [注射剂],陕西
复方氨基酸(15)双肽(2), [注射剂],陕西
脾多肽, [注射剂],陕西
渴络欣胶囊, ,陕西
注射用红花黄色素, ,山西
参仙升脉口服液, ,山西
益脉康软胶囊, ,山西
龙灯胶囊, ,山西
接骨续筋胶囊, ,山西
活络消痛胶囊, ,山西
芪珍胶囊, ,山西
清喉利咽颗粒, ,山西
双橘颗粒, ,山西
注射用丹参, ,山西
依折麦布, [口服常释剂型],陕西
复方卡托普利, [口服常释剂型],陕西
星瑙灵片, ,山西
化癥回生口服液, ,山西
双骨三子胶囊, ,山西
调经益灵片, ,山西
注射用黄芪多糖, ,山西
宫血停颗粒, ,山西
递法明片, ,山西
肝络欣丸, ,山西
氟伐他汀, [缓释控释剂型],陕西
氨溴索, [缓释控释剂型],陕西
多塞平, [注射剂],陕西
胶体果胶铋, [颗粒剂],陕西
复方甘草, [含片],陕西
茶碱沙丁胺醇, [缓释控释剂型],陕西
氢氧化铝, [凝胶剂],陕西
复方氯解磷定, [注射剂],陕西
磺达肝癸钠, [注射剂],陕西
曲安奈德新霉素, [贴剂],陕西
多库酯钠, [口服常释剂型],陕西
复方硫酸双肼屈嗪, [口服常释剂型],陕西
乙酰谷酰胺, [注射剂],陕西
复方硫酸沙丁胺醇, [吸入剂],陕西
可待因桔梗, [口服常释剂型],陕西
复方硫酸软骨素, [滴眼剂],陕西
复方妥布霉素, [滴眼剂],陕西
桉柠蒎, [口服常释剂型],陕西
杏芎氯化钠, [注射剂],陕西
复方氨基比林, [注射剂],陕西
辅酶Q10, [口服常释剂型],陕西
莫沙必利, [口服液体剂],陕西
氯化铵, [口服常释剂型],陕西
果糖二磷酸钠, [口服常释剂型],陕西
阿昔洛韦, [眼膏剂],陕西
依地酸钙钠, [口服常释剂型],陕西
丹参川芎嗪, [注射剂],陕西
复方丁香罗勒, [口服液体剂],陕西
