Med_Name,Med_Kind,Med_Plc
林可霉素,全身用抗感染药 [注射剂],国家
炔雌醇环丙孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
绒促性素,泌尿生殖系统药和性激素 [注射剂],国家
尿促性素,泌尿生殖系统药和性激素 [注射剂],国家
雷洛昔芬,泌尿生殖系统药和性激素 [口服常释剂型],国家
非那吡啶,泌尿生殖系统药和性激素 [口服常释剂型],国家
左卡尼汀,泌尿生殖系统药和性激素 [注射剂],国家
普适泰,泌尿生殖系统药和性激素 [口服常释剂型],国家
促皮质素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
去氨加压素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
卡贝缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
甲羟孕酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
氯米芬,泌尿生殖系统药和性激素 [口服常释剂型],国家
达那唑,泌尿生殖系统药和性激素 [口服常释剂型],国家
孕三烯酮,泌尿生殖系统药和性激素 [口服常释剂型],国家
聚苯乙烯磺酸钙,泌尿生殖系统药和性激素 [口服散剂],国家
阿夫唑嗪,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家
坦索罗辛,泌尿生殖系统药和性激素 [口服常释剂型;缓释控释剂型],国家
垂体后叶,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
缩宫素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
泼尼松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
倍他米松,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
泼尼松龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
曲安西龙,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
复方碘溶液,除性激素和胰岛素外的全身激素制剂 [口服液体剂],国家
鲑降钙素,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
多西环素,全身用抗感染药 [注射剂],国家
哌拉西林,全身用抗感染药 [注射剂],国家
青霉素,全身用抗感染药 [注射剂],国家
苯唑西林,全身用抗感染药 [口服常释剂型],国家
氨苄西林舒巴坦,全身用抗感染药 [注射剂],国家
倍他米松,除性激素和胰岛素外的全身激素制剂 [吸入剂],国家
泼尼松龙,除性激素和胰岛素外的全身激素制剂 [注射剂],国家
左甲状腺素,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
碘塞罗宁,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
西那卡塞,除性激素和胰岛素外的全身激素制剂 [口服常释剂型],国家
替加环素,全身用抗感染药 [注射剂],国家
美洛西林,全身用抗感染药 [注射剂],国家
普鲁卡因青霉素,全身用抗感染药 [注射剂],国家
阿莫西林舒巴坦,全身用抗感染药 [注射剂],国家
哌拉西林舒巴坦,全身用抗感染药 [注射剂],国家
伏立康唑,全身用抗感染药 [注射剂],国家
伊曲康唑,全身用抗感染药 [口服液体剂],国家
对氨基水杨酸钠,全身用抗感染药 [口服常释剂型],国家
异烟肼,全身用抗感染药 [口服常释剂型],国家
氨苯砜,全身用抗感染药 [口服常释剂型],国家
利巴韦林,全身用抗感染药 [注射剂],国家
泛昔洛韦,全身用抗感染药 [口服常释剂型],国家
更昔洛韦,全身用抗感染药 [口服常释剂型],国家
金刚乙胺,全身用抗感染药 [口服常释剂型;口服液体剂;颗粒剂],国家
拉米夫定,全身用抗感染药 [口服常释剂型],国家
