消化系统药物 [口服常释剂型],国家
养心达瓦依米西克蜜膏,民族药 ,国家
坐珠达西,民族药 ,国家
氨酚伪麻,解热镇痛及非甾体抗炎药物 [胶囊],国家
氨酚伪麻那敏(夜用）,解热镇痛及非甾体抗炎药物 [胶囊],国家
氨酚伪麻那敏,解热镇痛及非甾体抗炎药物 [片剂],国家
痛血康胶囊,骨伤科用药 ,国家
腰痹通胶囊,骨伤科用药 ,国家
狗皮膏,骨伤科用药 ,国家
骨质宁搽剂,骨伤科用药 ,国家
骨刺丸（胶囊、片）,骨伤科用药 ,国家
骨康胶囊,骨伤科用药 ,国家
骨仙片,骨伤科用药 ,国家
肤痒颗粒,皮肤科用药 ,国家
皮肤康洗液,皮肤科用药 ,国家
癣湿药水,皮肤科用药 ,国家
独一味丸（颗粒、胶囊、片）,民族药 ,国家
腰痛宁胶囊,骨伤科用药 ,国家
骨友灵擦剂,骨伤科用药 ,国家
正骨水,骨伤科用药 ,国家
复方杜仲健骨颗粒,骨伤科用药 ,国家
骨松宝颗粒（胶囊）,骨伤科用药 ,国家
白灵胶囊（片）,皮肤科用药 ,国家
黑豆馏油软膏,皮肤科用药 ,国家
消风止痒颗粒,皮肤科用药 ,国家
鱼鳞病片,皮肤科用药 ,国家
氨金黄敏,解热镇痛及非甾体抗炎药物 [颗粒],国家
氨咖麻敏,解热镇痛及非甾体抗炎药物 [胶囊],国家
酚咖麻敏,解热镇痛及非甾体抗炎药物 [胶囊],国家
复方氨酚烷胺,解热镇痛及非甾体抗炎药物 [颗粒],国家
复方酚咖伪麻,解热镇痛及非甾体抗炎药物 [胶囊],国家
复方愈创木酚磺酸钾,解热镇痛及非甾体抗炎药物 [口服液],国家
美酚伪麻,解热镇痛及非甾体抗炎药物 [片剂],国家
双扑伪麻,解热镇痛及非甾体抗炎药物 [胶囊],国家
愈美,解热镇痛及非甾体抗炎药物 [颗粒],国家
复方丙谷胺西咪替丁,消化系统药物 [片剂],国家
复方雷尼替丁,消化系统药物 [胶囊],国家
布洛伪麻,解热镇痛及非甾体抗炎药物 [分散片],国家
复方氨酚那敏,解热镇痛及非甾体抗炎药物 [颗粒],国家
复方氨酚烷胺,解热镇痛及非甾体抗炎药物 [片剂],国家
复方锌布,解热镇痛及非甾体抗炎药物 [颗粒],国家
复方愈酚喷托那敏,解热镇痛及非甾体抗炎药物 [糖浆],国家
美愈伪麻,解热镇痛及非甾体抗炎药物 [口服液],国家
愈创维林那敏,解热镇痛及非甾体抗炎药物 [片剂],国家
愈美,解热镇痛及非甾体抗炎药物 [片剂],国家
复方颠茄铋镁,消化系统药物 [片剂],国家
碘解磷定,解毒药物 [注射剂],国家
贝美格,解毒药物 [注射剂],国家
甲硫氨酸维B1,解毒药物 [注射剂],国家
胆影葡胺,诊断用药物 [注射剂],国家
碘番酸,诊断用药物 [口服常释剂型],国家
复方泛影葡胺,诊断用药物 [注射剂],国家
钆特酸葡胺,诊断用药物 [注射剂],国家
白喉抗毒素,生物制品 [注射剂],国家
破伤风抗毒素,生物制品 [注射剂],国家
A型肉毒抗毒素,生物制品 [注射剂],国家
重组牛碱性成纤维细胞生长因子(融合蛋白),生物制品 [外用冻干制剂],国家
二乙基二硫代氨基甲酸钠,解毒药物 [注射剂],国家
纳美芬,解毒药物 [注射剂],国家
碘苯酯,诊断用药物 [注射剂],国家
碘他拉葡甲胺,诊断用药物 [注射剂],国家
钆喷酸葡胺,诊断用药物 [注射剂],国家
六氟化硫微泡,诊断用药物 [注射剂],国家
抗炭疽血清,生物制品 [注射剂],国家
肉毒抗毒素,生物制品 [注射剂],国家
治疗用A型肉毒毒素,生物制品 [注射剂],国家
复方木香小檗碱,消化系统药物 [片剂],国家
复方尿囊素,消化系统药物 [片剂],国家
复方溴丙胺太林铝镁,消化系统药物 [片剂],国家
海藻酸铝镁,消化系统药物 [颗粒],国家
铝镁颠茄,消化系统药物 [片剂],国家
鼠李铋镁,消化系统药物 [片剂],国家
维U颠茄铝镁Ⅱ,消化系统药物 [片剂],国家
硝呋太尔,专科特殊用药物 [阴道片],国家
丙氨瑞林,专科特殊用药物 [注射剂],国家
依沙吖啶,专科特殊用药物 [注射剂],国家
二巯丙磺钠,解毒药物 [注射剂],国家
复方消化酶,消化系统药物 [胶囊],国家
复合乳酸菌,消化系统药物 [胶囊],国家
龙胆碳酸氢钠,消化系统药物 [片剂],国家
神黄钠铝,消化系统药物 [胶囊],国家
维U颠茄铝Ⅱ,消化系统药物 [胶囊],国家
替硝唑,专科特殊用药物 [阴道泡腾片;栓剂],国家
硝呋太尔制霉菌素,专科特殊用药物 [栓剂;阴道软胶囊],国家
普罗雌烯,专科特殊用药物 [阴道胶囊;阴道片;阴道软胶囊],国家
二巯丙醇,解毒药物 [注射剂],国家
大黄通便颗粒（胶囊、片）,内科用药 ,国家
麻仁丸（胶囊）,内科用药 ,国家
牛黄解毒丸（胶囊、软胶囊、片）,内科用药 ,国家
清宁丸,内科用药 ,国家
清热解毒颗粒（胶囊、片）,内科用药 ,国家
