消化系统药物 [口服常释剂型],国家
复方苦参水杨酸散剂, ,上海
复方紫荆消伤巴布膏, ,上海
金果饮, ,上海
黄疸茵陈颗粒, ,上海
辟瘟丹, ,上海
午时茶, ,上海
麝香关节止痛膏, ,上海
银屑灵, ,上海
风湿二十五味丸, ,上海
麝香解痛膏, ,上海
复方胎盘片, ,上海
活血解痛膏, ,上海
银黄含片, ,上海
指迷茯苓丸, ,上海
复方柴胡注射液, ,上海
萘夫西林, [注射剂],天津
甲砜霉素甘氨酸酯, [注射剂],天津
香菇多糖, [注射剂],天津
复方环磷酰胺, [口服常释剂型],天津
靛玉红, [口服常释剂型],天津
炔雌醇环丙孕酮, [口服常释剂型],天津
米格列奈, [口服常释剂型],天津
分清五淋丸, ,天津
小儿四症丸, ,天津
脂必妥胶囊（片）, ,天津
回生口服液, ,天津
头孢地嗪, [注射剂],天津
香菇多糖, [口服常释剂型],天津
匹多莫德, [颗粒剂],天津
复方谷氨酰胺, [颗粒剂],天津
戊酸雌二醇环丙孕酮, [口服常释剂型],天津
降压避风片, ,天津
复方塞隆胶囊, ,天津
醒脑降压丸, ,天津
京万红痔疮膏, ,天津
增生平片, ,天津
珍珠散, ,天津
血必净注射液, ,天津
舒肝调气丸, ,天津
清喉利咽颗粒, ,天津
辛芳鼻炎胶囊, ,天津
骨力胶囊, ,天津
生白口服液, ,天津
云芝菌胶囊, ,天津
保胎丸, ,天津
片仔癀胶囊, ,天津
舒心通脉胶囊, ,天津
消食退热糖浆, ,天津
艽龙胶囊, ,天津
固齿散, ,天津
熊胆舒肝利胆胶囊, ,天津
参一胶囊, ,天津
博尔宁胶囊, ,天津
舒康凝胶剂, ,天津
泻白糖浆, ,天津
清热消炎宁软胶囊, ,天津
咳露口服液, ,天津
羚贝止咳糖浆, ,天津
山蜡梅叶颗粒, ,天津
清胃黄连丸（片）, ,天津
养心安神丸, ,天津
丹参川芎嗪注射液, ,天津
夜尿宁丸, ,天津
牛黄清心丸, ,天津
西甲硅油, [口服液体剂],天津
拉克替醇, [口服散剂],天津
小儿肺热咳喘口服液, ,天津
清金止嗽化痰丸, ,天津
速感宁胶囊, ,天津
复方芦荟胶囊, ,天津
强肾片, ,天津
小儿牛黄清心散, ,天津
珍龙醒脑胶囊, ,天津
肠泰合剂, ,天津
奥沙拉秦, [口服常释剂型],天津
地佐辛, [注射剂],天津
奥沙普秦, [口服常释剂型],天津
氨咖甘, [口服常释剂型],天津
阿莫西林氟氯西林, [注射剂],天津
卡介菌多糖核酸, [注射剂],天津
五维赖氨酸, [口服液体剂],天津
小牛脾提取物, [注射剂],天津
抗人T淋巴细胞免疫球蛋白, [注射剂],天津
达立通颗粒, ,天津
金龙胶囊, ,天津
复方紫草油, ,天津
依托度酸, [缓控释剂型],天津
头孢替唑, [注射剂],天津
斑蝥酸钠维生素B6, [注射剂],天津
L-谷氨酰胺呱仑酸, [颗粒剂],天津
牛痘疫苗接种家兔炎症皮肤提取物, [口服常释剂型],天津
伊班膦酸, [注射剂],天津
风湿寒痛片, ,天津
舒脑欣滴丸, ,天津
生肌散, ,天津
阿扎司琼, [注射剂],天津
脱氧核苷酸, [注射剂],天津
丙戊酰胺, [口服常释剂型],天津
愈酚溴新, [口服液体剂],天津
低分子右旋糖酐氨基酸, [注射剂],天津
氯碘羟喹, [软膏剂],天津
萘敏维, [滴眼剂],天津
尼可地尔, [口服常释剂型],天津
铝镁匹林, [口服常释剂型],天津
复方七叶皂苷, [凝胶剂],天津
右旋酮洛芬, [口服常释剂型],天津
三磷酸腺苷二钠氯化镁, [注射剂],天津
桉柠蒎, [口服常释剂型],天津
鸡胆口服溶液, [口服液体剂],天津
复方右旋糖酐40, [注射剂],天津
复方肝素钠尿囊素, [凝胶剂],天津
辅酶I, [注射剂],天津
匹伐他汀, [口服常释剂型],天津
阿加曲班, [注射剂],天津
酮洛芬, [凝胶剂],天津
复方鲜竹沥液, ,天津
止咳宁嗽胶囊, ,天津
喉疾灵胶囊, ,天津
热炎宁合剂, ,天津
莫家清宁丸, ,天津
琥珀抱龙丸, ,天津
灯银脑通胶囊, ,天津
龙生蛭胶囊, ,天津
芪蛭通络胶囊, ,天津
复方猴头颗粒, ,天津
益肾液, ,天津
止嗽青果丸, ,天津
黄芩茎叶解毒胶囊, ,天津
精制银翘解毒片, ,天津
益气润肠膏, ,天津
清脑安神丸, ,天津
丹芪偏瘫胶囊, ,天津
救心丸, ,天津
心脉隆注射液, ,天津
智杞颗粒, ,天津
橡皮生肌膏, ,天津
溶栓胶囊, ,天津
葛酮通络胶囊, ,天津
沉香舒郁丸（片）, ,天津
镇痛活络酊, ,天津
千柏鼻炎片（胶囊）, ,天津
肤舒止痒膏, ,天津
麝香壮骨膏, ,天津
复方大红袍止血片, ,天津
舒肝宁注射液, ,天津
小儿止咳糖浆, ,天津
脑血栓片, ,天津
健胃宽胸丸, ,天津
调胃丹, ,天津
耳聋通窍丸, ,天津
伤湿祛痛膏, ,天津
伤湿止痛膏, ,天津
欣力康颗粒, ,天津
妇得康泡沫剂, ,天津
疏清颗粒, ,天津
复方胃蛋白酶, [口服散剂],天津
比沙可啶, [口服常释剂型],天津
长春胺, [缓控释剂型],天津
奥拉西坦, [注射剂],天津
氯喹那多普罗雌烯, [栓剂],天津
非尼拉敏盐酸萘甲唑啉, [滴眼剂],天津
复方蓝棕果, [口服常释剂型],天津
混合糖电解质, [注射剂],天津
吲哚布芬, [口服常释剂型],天津
阿糖腺苷, [注射剂],天津
苯酰甲硝唑, [口服常释剂型],天津
谷红, [注射剂],天津
舍雷肽酶, [口服常释剂型],天津
安钠咖, [注射剂],天津
氯喹那多普罗雌烯, [阴道片],天津
电解质补给, [注射剂],天津
蕲蛇酶, [注射剂],天津
门冬氨酸钾, [注射剂],天津
特非那定, [口服常释剂型],天津
美索巴莫, [口服常释剂型],天津
红花黄色素, ,天津
冠脉通片, ,天津
婴儿健脾口服液, ,天津
磁朱丸, ,天津
红花如意丸, ,天津
益肺清化膏, ,天津
抗癌平丸, ,天津
温经丸, ,天津
八宝拨云散, ,天津
鹭鸶咯丸, ,天津
百蕊胶囊（颗粒）, ,天津
健身消导颗粒, ,天津
鼻康片, ,天津
金蝉止痒胶囊, ,天津
镇江膏药, ,天津
复方益母草膏, ,天津
散结乳癖贴膏, ,天津
羊肝明目片, ,天津
甘霖洗剂, ,天津
咳速停胶囊, ,天津
灵芝胶囊, ,天津
生血丸, ,天津
蜡样芽胞杆菌, [口服常释剂型],江苏
乳酸菌素, [口服常释剂型],江苏
缬沙坦氢氯噻嗪, [口服常释剂型],江苏
乙酰谷酰胺, [注射剂],江苏
三唑仑, [口服常释剂型],江苏
复方甘露醇, [注射剂],江苏
细辛脑, [口服常释剂型],江苏
复方倍氯米松樟脑, [软膏剂],江苏
多磺酸粘多糖, [软膏剂],江苏
溃疡灵胶囊, ,天津
考来烯胺, [口服散剂],江苏
多库酯钠, [口服常释剂型],江苏
多廿烷醇, [口服常释剂型],江苏
奥拉西坦, [注射剂],江苏
奥氮平, [口腔崩解片],江苏
美敏伪麻, [咀嚼片],江苏
铝碳酸镁, [咀嚼片],江苏
复方肝素钠尿囊素, [凝胶剂],江苏
克林霉素磷酸酯, [凝胶剂],江苏
利拉萘酯, [软膏剂],江苏
参芎葡萄糖, [注射剂],江苏
脾多肽, [注射剂],江苏
多糖铁复合物, [口服常释剂型],江苏
氨酚黄那敏, [颗粒剂],江苏
克洛己新, [口服常释剂型],江苏
氯唑沙宗, [口服常释剂型],江苏
头孢特仑新戊酯, [口服常释剂型],江苏
头孢氨苄, [缓释控释剂型],江苏
头孢噻利, [注射剂],江苏
卡介菌纯蛋白衍化物, [注射剂],江苏
依折麦布, [口服常释剂型],江苏
阿加曲班, [注射剂],江苏
双氯芬酸, [贴剂],江苏
克洛己新, [口服液体剂],江苏
达克罗宁, [口服液体剂],江苏
头孢克洛, [口服液体剂],江苏
萘夫西林, [注射剂],江苏
克拉霉素, [缓释控释剂型],江苏
仑氨西林, [口服常释剂型],天津
头孢噻利, [注射剂],天津
头孢曲松他唑巴坦, [注射剂],天津
头孢哌酮, [注射剂],天津
薄芝糖肽, [注射剂],天津
去甲斑蝥素, [口服常释剂型],天津
尿嘧啶替加氟, [口服常释剂型],天津
氯氧喹, [口服常释剂型],天津
维D2磷葡钙片, [口服常释剂型],天津
牛痘疫苗接种家兔炎症皮肤提取物, [注射剂],天津
瓜蒌皮注射液, ,天津
厄他培南, [注射剂],天津
头孢泊肟, [口服液体剂],天津
铜绿假单胞菌, [注射剂],天津
匹多莫德, [口服液体剂],天津
左亚叶酸钙, [注射剂],天津
氟脲苷, [注射剂],天津
泛酸钙, [口服常释剂型],天津
核糖核酸Ⅱ, [注射剂],天津
麝香抗栓胶囊, ,天津
小儿清肺化痰泡腾片, ,天津
麻杏甘石软胶囊, ,天津
猴枣牛黄散, ,天津
参苏宣肺丸, ,天津
参芪消渴胶囊, ,天津
芪药消渴胶囊, ,天津
心脑联通胶囊, ,天津
心脑静片, ,天津
小儿广朴止泻口服液, ,天津
小儿止嗽糖浆, ,天津
参附强心丸, ,天津
长城感冒片, ,天津
蒲地蓝消炎片（口服液）, ,天津
六一散, ,天津
消渴清颗粒, ,天津
麝香心脑乐胶囊, ,天津
大株红景天注射液, ,天津
固肠胶囊, ,天津
华山参滴丸, ,天津
归芍地黄丸, ,天津
金嗓利咽丸, ,江苏
镇江膏药, ,江苏
解痉镇痛酊, ,江苏
退热清咽颗粒, ,江苏
羚贝止咳糖浆, ,江苏
地奥心血康软胶囊, ,江苏
芪龙胶囊, ,江苏
红花黄色素氯化钠注射液, ,江苏
杞菊地黄口服液, ,江苏
强肾片, ,江苏
苦参素, [口服常释剂型],江苏
七味通痹口服液, ,江苏
纯阳正气丸, ,江苏
法半夏枇杷膏, ,江苏
感冒灵胶囊, ,江苏
新乐康片, ,江苏
瓜蒌皮注射液, ,江苏
首乌丸, ,江苏
五子衍宗丸, ,江苏
复方甘草酸单胺, [注射剂],江苏
硫酸吗啡, [栓剂],江苏
右美托咪定, [注射剂],江苏
复方硫酸软骨素, [口服常释剂型],江苏
氨基葡萄糖, [颗粒剂],江苏
头孢拉定, [颗粒剂],江苏
头孢丙烯, [口服液体剂],江苏
阿莫西林舒巴坦匹酯, [口服常释剂型],江苏
头孢地嗪, [注射剂],江苏
雷替曲塞, [注射剂],江苏
小牛血去蛋白提取物, [注射剂],江苏
枸地氯雷他定, [口服常释剂型],江苏
安乃近, [注射剂],江苏
汉防己甲素, [口服常释剂型],江苏
奥硝唑, [口服常释剂型],江苏
头孢丙烯, [颗粒剂],江苏
氨苄西林氯唑西林, [注射剂],江苏
罗红霉素, [缓释控释剂型],江苏
云芝胞内糖肽, [口服常释剂型],江苏
核糖核酸Ⅱ, [注射剂],江苏
小牛脾提取物, [注射剂],江苏
阿扎司琼, [注射剂],江苏
复方硫酸双肼屈嗪, [口服常释剂型],江苏
亮菌甲素, [注射剂],江苏
罗红霉素氨溴索, [口服常释剂型],江苏
木糖醇, [注射剂],江苏
吡嘧司特钾, [口服常释剂型],江苏
洛美沙星, [眼用凝胶剂],江苏
阿托品, [眼用凝胶剂],江苏
转化糖电解质, [注射剂],江苏
重组人粒细胞巨噬细胞刺激因子, [凝胶剂],江苏
左旋咪唑, [口服常释剂型],江苏
尼群洛尔, [口服常释剂型],江苏
复方甘铋镁, [口服常释剂型],江苏
氟替卡松, [软膏剂],江苏
氯化钙溴化钠, [注射剂],江苏
复方氯己定, [外用液体剂],江苏
洛美沙星, [滴眼剂],江苏
磺达肝癸钠, [注射剂],江苏
复方盐酸阿米洛利, [口服常释剂型],江苏
对氨基水杨酸异烟肼, [口服常释剂型],江苏
培美曲塞, [注射剂],江苏
紫杉醇脂质体, [注射剂],江苏
12种复合维生素, [注射剂],江苏
黄体酮, [凝胶剂],江苏
坎地氢噻片, [片剂],江苏
依折麦布辛伐他汀片, [片剂],江苏
厄贝沙坦氢氯噻嗪胶囊, [胶囊],江苏
孕康糖浆, ,江苏
血塞通软胶囊(滴丸), ,江苏
胃痛定, ,江苏
六味木香丸, ,江苏
结构脂肪乳(C6~24), [注射剂],江苏
戊酸雌二醇/雌二醇环丙孕酮, [口服常释剂型],江苏
复方米非司酮, [口服常释剂型],江苏
替米沙坦氢氯噻嗪片, [片剂],江苏
瑞格列奈二甲双胍片(Ⅱ), [片剂],江苏
和络舒肝胶囊, ,江苏
参一胶囊, ,江苏
胃乐宁片, ,江苏
华佗膏, ,江苏
阿仑膦酸钠维D3片(Ⅱ), [片剂],江苏
恩他卡朋双多巴片（Ⅱ）, [片剂],江苏
瑞格列奈二甲双胍片(Ⅰ), [片剂],江苏
减味紫雪口服液, ,江苏
三妙丸, ,江苏
金银花露, ,江苏
心痛康片, ,江苏
蛭蛇通络胶囊, ,江苏
清浊祛毒丸, ,江苏
克痒舒洗液, ,江苏
鼻炎糖浆, ,江苏
奥美沙坦氢氯噻嗪片, [片剂],江苏
氯沙坦钾氢氯噻嗪片, [片剂],江苏
海昆肾喜胶囊, ,江苏
益母草注射液(口服液), ,江苏
回生口服液, ,江苏
羊藿三七胶囊, ,江苏
元胡止痛软胶囊, ,江苏
健胃消食片(口服液), ,江苏
西帕依麦孜彼子片(胶囊), ,江苏
胎盘多肽, [注射剂],江苏
氟尿嘧啶, [植入剂],江苏
胸腺肽, [注射剂],江苏
斑蝥酸钠, [注射剂],江苏
复方氟尿嘧啶, [注射剂],江苏
铜绿假单胞菌, [注射剂],江苏
美索巴莫, [口服常释剂型],江苏
复方骨肽, [注射剂],江苏
炔雌醇环丙孕酮, [口服常释剂型],江苏
吡格列酮二甲双胍片, [片剂],江苏
二维葡钙片, [片剂],江苏
重组人干扰素γ, [注射剂],江苏
甲基斑蝥胺, [口服常释剂型],江苏
地氯雷他定, [口服常释剂型],江苏
尿嘧啶替加氟, [口服常释剂型],江苏
钠钾镁钙葡萄糖, [注射剂],江苏
艾塞那肽, [注射剂],江苏
骨化三醇, [注射剂],江苏
雌二醇片/雌二醇地屈孕酮片复合包装, [片剂],江苏
奥沙利铂甘露醇注射液, [注射剂],江苏
白蚀丸, ,江苏
红花如意丸, ,江苏
治伤胶囊, ,江苏
灵仙跌打片, ,江苏
姜枣祛寒颗粒, ,江苏
川贝枇杷糖浆, ,江苏
清开灵滴丸, ,江苏
双金连合剂, ,江苏
香菊感冒颗粒, ,江苏
甘草甜素片, ,江苏
大株红景天注射液(胶囊), ,江苏
血脉通胶囊, ,江苏
伤湿止痛膏, ,江苏
猴头菌片, ,江苏
顺气化痰片(颗粒), ,江苏
复方鲜竹沥液, ,江苏
藿香正气滴丸, ,江苏
玉屏风口服液, ,江苏
小儿清热宁颗粒, ,江苏
蒲地蓝消炎口服液, ,江苏
复方芦丁, [口服常释剂型],江苏
浓维磷, [口服液体剂],江苏
依替膦酸二钠, [口服常释剂型],江苏
吸入用倍氯米松福莫特罗气雾剂, [气雾剂],江苏
厄贝沙坦氢氯噻嗪片, [片剂],江苏
七味刺榆颗粒, ,江苏
血必净注射液, ,江苏
消栓口服液, ,江苏
晕可平颗粒(糖浆), ,江苏
嘎日迪五味丸(胶囊), ,江苏
八味沉香散, ,江苏
米格列奈, [口服常释剂型],江苏
三磷酸腺苷辅酶胰岛素, [注射剂],江苏
氨氯地平贝那普利片（Ⅱ）, [片剂],江苏
厄贝沙坦氢氯噻嗪分散片, [分散片],江苏
清肝利胆胶囊, ,江苏
抗妇炎胶囊, ,江苏
脑血栓片, ,江苏
正清风痛宁缓释片, ,江苏
花藤子颗粒, ,江苏
双氯芬酸, [凝胶剂],江苏
氟比洛芬, [贴剂],江苏
利巴韦林, [吸入剂],江苏
氟吡汀, [口服常释剂型],江苏
螺旋霉素, [口服常释剂型],江苏
加替沙星, [注射剂],江苏
头孢哌酮, [注射剂],江苏
甘露聚糖肽, [注射剂],江苏
伊达比星, [注射剂],江苏
复方氨基酸（17AA-H）, [注射剂],江苏
呋喃硫胺, [口服常释剂型],江苏
右旋布洛芬, [口服常释剂型],江苏
地佐辛, [注射剂],江苏
阿莫西林, [注射剂],江苏
甲砜霉素甘氨酸酯, [注射剂],江苏
头孢曲松他唑巴坦, [注射剂],江苏
头孢噻肟舒巴坦, [注射剂],江苏
香菇多糖, [注射剂],江苏
脱氧核苷酸, [注射剂],江苏
氢化可的松琥珀酸钠, [注射剂],江苏
乙酰半胱氨酸, [颗粒剂],江苏
氨溴索, [缓释控释剂型],江苏
酮康唑, [外用液体剂],江苏
双唑泰, [阴道泡腾片],江苏
吡诺克辛, [滴眼剂],江苏
弹性酶, [口服常释剂型],江苏
三磷酸腺苷, [口服常释剂型],江苏
氟伐他汀, [缓释控释剂型],江苏
月见草油, [口服常释剂型],江苏
混合糖电解质, [注射剂],江苏
明胶海绵, [海绵剂],江苏
阿昔洛韦, [凝胶剂],江苏
双唑泰, [栓剂],江苏
吡嘧司特钾, [滴眼剂],江苏
门冬氨酸钾, [注射剂],江苏
二丁酰环磷腺苷, [注射剂],江苏
辅酶Q10, [口服常释剂型],江苏
藻酸双酯钠, [口服常释剂型],江苏
复合辅酶, [注射剂],江苏
包醛氧淀粉, [口服常释剂型],江苏
血府逐瘀软胶囊, ,江苏
头痛定糖浆, ,江苏
齐墩果酸, [口服常释剂型],江苏
帕洛诺司琼, [注射剂],江苏
羟甲香豆素, [口服常释剂型],江苏
复方卡托普利, [口服常释剂型],江苏
多酶, [口服常释剂型],江苏
曲尼司特, [口服常释剂型],江苏
三磷酸胞苷, [注射剂],江苏
依卡倍特, [颗粒剂],江苏
硫必利, [口服常释剂型],江苏
川黄口服液, ,江苏
碱式水杨酸铋, [口服液体剂],江苏
奥美沙坦酯, [口服常释剂型],江苏
复方谷氨酰胺, [口服常释剂型],江苏
阿折地平, [口服常释剂型],江苏
单唾液酸四己糖神经节苷脂, [注射剂],江苏
曲克芦丁脑蛋白水解物, [注射剂],江苏
尼莫地平, [缓释控释剂型],江苏
桉柠蒎, [口服常释剂型],江苏
协日嘎四味汤胶囊, ,江苏
苍辛气雾剂, ,江苏
百蕊胶囊, ,江苏
复方熊胆滴眼液, ,江苏
筋骨痛消丸, ,江苏
明通治伤风颗粒, ,江苏
牛黄消炎丸(片), ,江苏
小儿肺热咳喘口服液, ,江苏
利肝康片, ,江苏
五味子糖浆, ,江苏
银杏酮酯分散片, ,江苏
藏茵陈胶囊, ,江苏
治糜灵泡腾片, ,江苏
仙璐贝滴剂, ,江苏
舒肝宁注射液, ,江苏
半夏露糖浆, ,江苏
复方板蓝根颗粒, ,江苏
虎驹乙肝胶囊, ,江苏
还少胶囊, ,江苏
冠心静胶囊(片), ,江苏
烧伤喷雾剂, ,浙江
血脂灵片, ,浙江
猴菇片, ,浙江
麝香风湿片, ,浙江
肝加欣片, ,浙江
克痒舒洗液, ,浙江
治伤胶囊, ,浙江
金果饮, ,浙江
洁尔阴洗液, ,浙江
归芍调经片, ,浙江
女金丹丸, ,浙江
生白合剂, ,浙江
益气活血颗粒, ,浙江
麝香祛风湿油, ,浙江
白花油, ,浙江
六味木香散, ,浙江
万灵五香膏, ,浙江
妇炎灵胶囊（泡腾片）, ,浙江
当归芍药颗粒, ,浙江
暖宫孕子丸, ,浙江
超短效人胰岛素类似物, [注射剂],浙江
吡格列酮, [口服常释剂型],浙江
帕米膦酸二钠, [注射剂],浙江
阿法骨化醇, [口服常释剂型],浙江
胸腺肽α1, [注射剂],浙江
促肝细胞生长素, [注射剂],浙江
替米沙坦, [口服常释剂型],浙江
前列地尔, [注射剂],浙江
参附注射液, ,浙江
参麦注射液, ,浙江
美洛西林舒巴坦, [注射剂],浙江
降钙素, [注射剂],浙江
羟乙膦酸钠, [口服常释剂型],浙江
胰激肽原酶, [口服常释剂型],浙江
桂哌齐特, [注射剂],浙江
甘草酸二铵, [注射剂],浙江
缬沙坦, [口服常释剂型],浙江
人血白蛋白, [注射剂],浙江
醒脑静注射液, ,浙江
丹红注射液, ,浙江
沙奎那韦, [口服常释剂型],浙江
小檗碱, [口服常释剂型],浙江
甲硝唑, [口服常释剂型],浙江
氨基酸型肠内营养剂, [口服散剂],浙江
环孢素, [注射剂],浙江
氟达拉滨, [注射剂],浙江
重组人粒细胞集落刺激因子, [注射剂],浙江
人免疫球蛋白, [注射剂],浙江
健脾益肾颗粒, ,浙江
胆益宁片, ,浙江
弹性酶, [口服常释剂型],浙江
哌嗪, [锭剂],浙江
复方氨基酸18AA[18AA-Ⅰ、18AA-Ⅱ、18AA-Ⅲ（18AAF）、18AA-Ⅴ], [注射剂],浙江
短肽型肠内营养剂, [口服散剂;口服液体剂],浙江
聚乙二醇干扰素α-2a[α-2b], [注射剂],浙江
伊立替康, [注射剂],浙江
转化糖, [注射剂],浙江
紫雪（颗粒、胶囊）, ,浙江
贞芪扶正颗粒（胶囊、片）, ,浙江
薄荷止痒酊, ,浙江
多糖铁复合物, [口服常释剂型],浙江
司帕沙星, [口服常释剂型],浙江
呋布西林, [注射剂],浙江
二氟尼柳, [口服常释剂型],浙江
格列齐特(Ⅱ), [口服常释剂型],浙江
伊达比星, [注射剂],浙江
普鲁卡因肾上腺素, [注射剂],浙江
芦丁, [口服常释剂型],浙江
碳酸钙维生素D3, [咀嚼片],浙江
米卡芬净, [注射剂],浙江
舒巴坦, [注射剂],浙江
头孢哌酮, [注射剂],浙江
西索米星, [注射剂],浙江
雷公藤内酯, [软膏剂],浙江
氨磷汀, [注射剂],浙江
汉防己甲素, [口服常释剂型],浙江
复方曲马多, [口服常释剂型],浙江
复方氨基酸（8-11）, [口服常释剂型],浙江
葡萄糖酸锌, [口服常释剂型],浙江
双氯芬酸二乙胺, [软膏剂凝胶剂],浙江
替卡西林克拉维酸, [注射剂],浙江
头孢替安, [注射剂],浙江
头孢他啶, [注射剂],浙江
头孢匹罗, [注射剂],浙江
法罗培南, [口服常释剂型],浙江
替考拉宁, [注射剂],浙江
夫西地酸, [注射剂],浙江
甲硝唑, [口服常释剂型],浙江
氟康唑, [注射剂],浙江
恩夫韦肽, [注射剂],浙江
注射用丹参, ,江苏
头孢克肟, [口服常释剂型;颗粒剂],浙江
头孢吡肟, [注射剂],浙江
比阿培南, [注射剂],浙江
帕尼培南倍他米隆, [注射剂],浙江
万古霉素, [注射剂],浙江
莫西沙星, [注射剂],浙江
奥硝唑, [注射剂],浙江
两性霉素B, [注射剂],浙江
金刚乙胺, [口服常释剂型;口服液体剂;颗粒剂],浙江
心脉隆注射液, ,江苏
渴络欣胶囊, ,江苏
六味地黄软胶囊(滴丸), ,江苏
补肾健脾口服液, ,江苏
黄芪精, ,江苏
塞曲司特, [口服常释剂型],浙江
尿囊素铝, [口服常释剂型;颗粒剂],浙江
藻酸双酯钠, [口服常释剂型],浙江
复方碘苷, [眼膏剂],浙江
复方氯解磷定, [注射剂],浙江
复方磺胺嘧啶, [口服常释剂型],浙江
阿胶补血口服液, ,江苏
注射用益气复脉（冻干）, ,江苏
复方活脑舒胶囊, ,江苏
酪酸梭菌活菌制剂, [口服常释剂型;口服散剂],浙江
愈酚待因, [口服液体剂],浙江
屈他维林, [注射剂],浙江
复方噻吗洛尔, [滴眼剂],浙江
复方薄荷脑, [吸入剂],浙江
双唑泰, [栓剂],浙江
聚肌胞, [注射剂],浙江
卡介菌多糖、核酸制剂, [注射剂],浙江
复方别嘌醇, [口服常释剂型],浙江
罗格列酮, [口服常释剂型],浙江
阿仑膦酸钠, [口服常释剂型],浙江
依达拉奉, [注射剂],浙江
生长抑素[14肽], [注射剂],浙江
三磷酸腺苷, [注射剂],浙江
重组人红细胞生成素（重组人促红素）, [注射剂],浙江
羟乙基淀粉, [注射剂],浙江
康莱特软胶囊, ,浙江
地氯雷他定, [口服常释剂型],浙江
芬太尼, [贴剂],浙江
降钙素, [吸入剂],浙江
他克莫司, [口服常释剂型],浙江
奥曲肽[8肽], [注射剂],浙江
氯沙坦钾, [口服常释剂型],浙江
人纤维蛋白原, [注射剂],浙江
门冬氨酸钾镁, [口服常释剂型],浙江
安替可胶囊, ,浙江
虫草菌发酵制剂, ,浙江
阿莫西林克拉维酸, [注射剂],浙江
哌拉西林舒巴坦, [注射剂],浙江
头孢噻肟, [注射剂],浙江
头孢哌酮舒巴坦, [注射剂],浙江
奈替米星, [注射剂],浙江
多粘菌素B（多粘菌素）, [注射剂],浙江
吉米沙星, [口服常释剂型],浙江
左奥硝唑, [注射剂],浙江
伏立康唑, [口服液体剂],浙江
除翳明目片, ,浙江
阿莫西林舒巴坦, [注射剂],浙江
头孢硫脒, [注射剂],浙江
头孢曲松, [注射剂],浙江
头孢唑肟, [注射剂],浙江
氨曲南, [注射剂],浙江
氟罗沙星, [注射剂],浙江
洛美沙星, [注射剂],浙江
伏立康唑, [口服常释剂型],浙江
伊曲康唑, [口服液体剂],浙江
清肝颗粒（片）, ,浙江
黄疸茵陈颗粒, ,浙江
清热灵颗粒, ,浙江
麻杏甘石软胶囊, ,浙江
清胃黄连片, ,浙江
复方蛇胆川贝散, ,浙江
心痛宁喷雾剂, ,浙江
复方海蛇胶囊, ,浙江
川贝枇杷糖浆, ,浙江
银杏露, ,浙江
六味木香胶囊, ,浙江
复方鱼腥草合剂（颗粒）, ,浙江
纯阳正气丸, ,浙江
芙朴感冒胶囊（颗粒）, ,浙江
午时茶颗粒, ,浙江
五子衍宗丸（软胶囊）, ,浙江
琥珀多寐丸, ,浙江
牛黄清脑开窍丸, ,浙江
法半夏枇杷膏, ,浙江
无比山药丸, ,浙江
沉香化气胶囊, ,浙江
复方三七胶囊, ,浙江
恒古骨伤愈合剂, ,浙江
障翳散, ,浙江
肝康宁片, ,浙江
姜枣祛寒冲剂, ,浙江
脏连丸, ,浙江
克痢痧胶囊, ,浙江
润肠丸, ,浙江
辟瘟片, ,浙江
特比萘芬, [口服常释剂型],浙江
百宝丹, ,浙江
复方益母草流浸膏, ,浙江
叶下珠胶囊（片）, ,浙江
银黄清肺胶囊, ,浙江
葫芦素片, ,浙江
复方穿心莲片, ,浙江
复方野菊感冒颗粒, ,浙江
黄连胶囊, ,浙江
百合固金口服液, ,浙江
阿德福韦酯, [口服常释剂型],浙江
替比夫定, [口服常释剂型],浙江
阿苯达唑, [口服常释剂型],浙江
脂肪乳氨基酸葡萄糖, [注射剂],浙江
阿替普酶, [注射剂],浙江
艾迪注射液, ,浙江
益血生胶囊, ,浙江
强肾片, ,浙江
消瘰夏枯草膏, ,浙江
丹香冠心注射液, ,浙江
黄芪精, ,浙江
利奈唑胺, [口服常释剂型],浙江
哌嗪, [口服常释剂型],浙江
法舒地尔, [注射剂],浙江
果糖, [注射剂],浙江
生血宝合剂（颗粒）, ,浙江
三妙丸, ,浙江
石淋通冲剂, ,浙江
珍黄丸, ,浙江
昆明山海棠片, ,浙江
奥沙拉秦, [口服常释剂型],浙江
5-氨基水杨酸, [口服常释剂型],浙江
苯丙哌林, [口服常释剂型;颗粒剂],浙江
丙谷胺, [口服常释剂型],浙江
氨碘肽, [滴眼剂],浙江
西地碘, [口服常释剂型],浙江
维生素K4, [口服常释剂型],浙江
复方酮康唑, [软膏剂],浙江
丹皮酚, [注射剂],浙江
阿莫西林双氯西林, [口服常释剂型],浙江
丹参注射液, ,浙江
尼索地平, [口服常释剂型;缓释控释剂型],浙江
复方牛胎肝提取物, [口服常释剂型],浙江
L-谷氨酰胺呱仑酸钠, [颗粒剂],浙江
四环素泼尼松, [眼膏剂],浙江
氨苯蝶啶氢氯噻嗪, [口服常释剂型],浙江
多烯酸乙酯, [口服常释剂型],浙江
培氟沙星, [注射剂],浙江
两性霉素B脂质体, [注射剂],浙江
头孢地嗪, [注射剂],浙江
康莱特注射液, ,浙江
阿莫西林, [口服液体剂;颗粒剂],浙江
氨苄西林舒巴坦, [注射剂],浙江
