内科用药 ,国家
阿娜尔妇洁液,民族药 ,国家
寒喘祖帕颗粒,民族药 ,国家
玛木然止泻胶囊,民族药 ,国家
清热卡森颗粒,民族药 ,国家
百令胶囊,内科用药 ,国家
宁心宝胶囊,内科用药 ,国家
血塞通注射液,内科用药 ,国家
乌兰十三味汤散,民族药 ,国家
暖宫七味散,民族药 ,国家
清热八味胶囊,民族药 ,国家
复方卡力孜然酊,民族药 ,国家
护肝布祖热颗粒,民族药 ,国家
尿通卡克乃其片,民族药 ,国家
养心达瓦依米西克蜜膏,民族药 ,国家
金水宝片,内科用药 ,国家
地奥心血康颗粒,内科用药 ,国家
利舒康胶囊,民族药 ,国家
诺迪康片,民族药 ,国家
仁青芒觉胶囊,民族药 ,国家
三十五味沉香丸,民族药 ,国家
十味蒂达胶囊,民族药 ,国家
二十五味珊瑚胶囊,民族药 ,国家
七味红花殊胜丸,民族药 ,国家
石榴健胃胶囊,民族药 ,国家
巴特日七味丸,民族药 ,国家
红花清肝十三味丸,民族药 ,国家
清感九味丸,民族药 ,国家
七味红花殊胜散,民族药 ,国家
如意珍宝丸,民族药 ,国家
珊瑚七十味丸,民族药 ,国家
石榴健胃丸,民族药 ,国家
六味能消胶囊,民族药 ,国家
石榴健胃片,民族药 ,国家
石榴健胃散,民族药 ,国家
大黄三味片,民族药 ,国家
暖宫七味丸,民族药 ,国家
注射用血栓通(冻干),内科用药 ,国家
灯盏细辛注射液,内科用药 ,国家
银杏叶颗粒,内科用药 ,国家
银杏叶片,内科用药 ,国家
银杏酮酯颗粒,内科用药 ,国家
银杏叶注射液,内科用药 ,国家
舒血宁注射液,内科用药 ,国家
脂必妥片,内科用药 ,国家
精制狗皮膏,骨伤科用药 ,国家
豨莶通栓丸,内科用药 ,国家
银杏叶注射制剂,内科用药 ,国家
血塞通软胶囊,内科用药 ,国家
银杏叶口服液,内科用药 ,国家
银杏叶丸,内科用药 ,国家
银杏达莫注射液,内科用药 ,国家
注射用银杏叶提取物,内科用药 ,国家
血脂康片,内科用药 ,国家
脂必妥胶囊,内科用药 ,国家
新型狗皮膏,骨伤科用药 ,国家
银杏叶口服制剂,内科用药 ,国家
红花逍遥颗粒,内科用药 ,国家
舒肝片,内科用药 ,国家
气滞胃痛片,内科用药 ,国家
健胃消炎颗粒,内科用药 ,国家
摩罗丹,内科用药 ,国家
胃康灵丸,内科用药 ,国家
小儿香橘丸,内科用药 ,国家
气滞胃痛颗粒,内科用药 ,国家
肝达康胶囊,内科用药 ,国家
胃康灵胶囊,内科用药 ,国家
王氏保赤丸,内科用药 ,国家
舒肝颗粒,内科用药 ,国家
复方田七胃痛片,内科用药 ,国家
快胃片,内科用药 ,国家
舒肝止痛丸,内科用药 ,国家
胃痛宁片,内科用药 ,国家
左金丸,内科用药 ,国家
元胡止痛颗粒,内科用药 ,国家
健胃愈疡颗粒,内科用药 ,国家
左金胶囊,内科用药 ,国家
银盏心脉滴丸,内科用药 ,国家
逐瘀通脉胶囊,内科用药 ,国家
消栓通络胶囊,内科用药 ,国家
心脑康胶囊,内科用药 ,国家
脑血康丸,内科用药 ,国家
脑血康片,内科用药 ,国家
脑血康滴丸,内科用药 ,国家
逍遥丸,内科用药 ,国家
加味逍遥丸,内科用药 ,国家
舒肝丸,内科用药 ,国家
逍遥颗粒,内科用药 ,国家
丹灯通脑胶囊,内科用药 ,国家
消栓通络颗粒,内科用药 ,国家
鳖甲煎丸,内科用药 ,国家
脑血疏口服液,内科用药 ,国家
脑血康颗粒,内科用药 ,国家
丹蒌片,内科用药 ,国家
红花逍遥片,内科用药 ,国家
平肝舒络丸,内科用药 ,国家
越鞠丸,内科用药 ,国家
中风回春丸,内科用药 ,国家
祖师麻片,内科用药 ,国家
小活络片,内科用药 ,国家
风湿骨痛片,内科用药 ,国家
追风透骨片,内科用药 ,国家
附桂骨痛颗粒,内科用药 ,国家
二妙丸,内科用药 ,国家
正清风痛宁缓释片,内科用药 ,国家
关节克痹丸,内科用药 ,国家
虎力散,内科用药 ,国家
金骨莲片,内科用药 ,国家
大活络胶囊,内科用药 ,国家
中风回春颗粒,内科用药 ,国家
风湿骨痛胶囊,内科用药 ,国家
追风透骨胶囊,内科用药 ,国家
木瓜片,内科用药 ,国家
湿热痹片,内科用药 ,国家
当归拈痛颗粒,内科用药 ,国家
黑骨藤追风活络胶囊,内科用药 ,国家
虎力散片,内科用药 ,国家
小儿七星茶颗粒,内科用药 ,国家
小儿消食片,内科用药 ,国家
小儿七星茶糖浆,内科用药 ,国家
木香槟榔丸,内科用药 ,国家
保和片,内科用药 ,国家
小儿化食口服液,内科用药 ,国家
川芎茶调颗粒,内科用药 ,国家
牛黄降压丸,内科用药 ,国家
九味熄风颗粒,内科用药 ,国家
牛黄抱龙丸,内科用药 ,国家
天麻钩藤颗粒,内科用药 ,国家
小儿七星茶口服液,内科用药 ,国家
化积颗粒,内科用药 ,国家
小儿化食丸,内科用药 ,国家
槟榔四消片,内科用药 ,国家
川芎茶调口服液,内科用药 ,国家
祛风止痛片,内科用药 ,国家
丹珍头痛胶囊,内科用药 ,国家
脉君安片,内科用药 ,国家
清肝降压胶囊,内科用药 ,国家
消眩止晕片,内科用药 ,国家
珍菊降压片,内科用药 ,国家
清脑降压胶囊,内科用药 ,国家
安宫降压丸,内科用药 ,国家
天智颗粒,内科用药 ,国家
化风丹,内科用药 ,国家
天舒片,内科用药 ,国家
正天胶囊,内科用药 ,国家
养血荣筋丸,内科用药 ,国家
麝香海马追风膏,内科用药 ,国家
小活络丸,内科用药 ,国家
牛黄降压片,内科用药 ,国家
清脑降压颗粒,内科用药 ,国家
脑立清丸,内科用药 ,国家
复方罗布麻颗粒,内科用药 ,国家
天黄猴枣散,内科用药 ,国家
肿痛安胶囊,内科用药 ,国家
强力天麻杜仲胶囊,内科用药 ,国家
散风活络丸,内科用药 ,国家
天麻丸,内科用药 ,国家
疏风定痛丸,内科用药 ,国家
虎力散胶囊,内科用药 ,国家
迈之灵片,内科用药 ,国家
尿毒清颗粒,内科用药 ,国家
肾炎舒片,内科用药 ,国家
五苓片,内科用药 ,国家
肾炎舒颗粒,内科用药 ,国家
导赤丸,内科用药 ,国家
泌宁胶囊,内科用药 ,国家
尿清舒颗粒,内科用药 ,国家
前列通片,内科用药 ,国家
肾炎四味片,内科用药 ,国家
肾康注射液,内科用药 ,国家
黄葵胶囊,内科用药 ,国家
肾炎消肿片,内科用药 ,国家
肾炎舒胶囊,内科用药 ,国家
三金片,内科用药 ,国家
复方金钱草颗粒,内科用药 ,国家
尿感宁颗粒,内科用药 ,国家
前列舒丸,内科用药 ,国家
三金颗粒,内科用药 ,国家
肾安胶囊,内科用药 ,国家
肾舒颗粒,内科用药 ,国家
血尿安片,内科用药 ,国家
复方石淋通胶囊,内科用药 ,国家
前列泰片,内科用药 ,国家
前列通胶囊,内科用药 ,国家
肾复康胶囊,内科用药 ,国家
灵泽片,内科用药 ,国家
前列癃闭通片,内科用药 ,国家
夏荔芪胶囊,内科用药 ,国家
肾复康片,内科用药 ,国家
翁沥通片,内科用药 ,国家
癃清胶囊,内科用药 ,国家
前列安通胶囊,内科用药 ,国家
前列泰颗粒,内科用药 ,国家
热淋清颗粒,内科用药 ,国家
翁沥通颗粒,内科用药 ,国家
尿塞通片,内科用药 ,国家
前列舒乐片,内科用药 ,国家
普乐安片,内科用药 ,国家
肾炎康复片,内科用药 ,国家
肾康宁片,内科用药 ,国家
尪痹胶囊,内科用药 ,国家
肾康宁胶囊,内科用药 ,国家
通痹胶囊,内科用药 ,国家
丹田降脂丸,内科用药 ,国家
降脂通脉胶囊,内科用药 ,国家
泰脂安胶囊,内科用药 ,国家
荷丹胶囊,内科用药 ,国家
消炎利胆片,外科用药 ,国家
痹祺胶囊,内科用药 ,国家
天麻壮骨丸,内科用药 ,国家
尪痹颗粒,内科用药 ,国家
肾康宁颗粒,内科用药 ,国家
血脂康胶囊,内科用药 ,国家
复方红曲口服制剂,内科用药 ,国家
壳脂胶囊,内科用药 ,国家
脂康颗粒,内科用药 ,国家
绞股蓝总苷胶囊,内科用药 ,国家
痔疮片,外科用药 ,国家
肛泰软膏,外科用药 ,国家
结石通片,外科用药 ,国家
利胆排石颗粒,外科用药 ,国家
复方夏枯草膏,外科用药 ,国家
内消瘰疬片,外科用药 ,国家
金龙胶囊,肿瘤用药 ,国家
威麦宁胶囊,肿瘤用药 ,国家
参莲颗粒,肿瘤用药 ,国家
消癌平片,肿瘤用药 ,国家
鸦胆子油口服乳液,肿瘤用药 ,国家
痔康胶囊,外科用药 ,国家
金钱草胶囊,外科用药 ,国家
肾石通片,外科用药 ,国家
茴香橘核丸,外科用药 ,国家
艾迪注射液,肿瘤用药 ,国家
康莱特软胶囊,肿瘤用药 ,国家
消癌平注射液,肿瘤用药 ,国家
华蟾素胶囊,肿瘤用药 ,国家
消癌平胶囊,肿瘤用药 ,国家
复方皂矾丸,肿瘤用药 ,国家
槐耳颗粒,肿瘤用药 ,国家
康力欣胶囊,肿瘤用药 ,国家
养正消积胶囊,肿瘤用药 ,国家
贞芪扶正颗粒,肿瘤用药 ,国家
妇科调经片,妇科用药 ,国家
复方益母口服液,妇科用药 ,国家
七制香附丸,妇科用药 ,国家
妇科调经颗粒,妇科用药 ,国家
妇女痛经颗粒,妇科用药 ,国家
复方益母颗粒,妇科用药 ,国家
金复康口服液,肿瘤用药 ,国家
养血饮口服液,肿瘤用药 ,国家
贞芪扶正胶囊,肿瘤用药 ,国家
补血益母丸,妇科用药 ,国家
妇科再造丸,妇科用药 ,国家
经舒胶囊,妇科用药 ,国家
补血益母颗粒,妇科用药 ,国家
妇科调经滴丸,妇科用药 ,国家
复方益母胶囊,妇科用药 ,国家
胆舒片,外科用药 ,国家
胆石利通胶囊,外科用药 ,国家
地榆槐角丸,外科用药 ,国家
拔毒膏,外科用药 ,国家
康复新液,外科用药 ,国家
六应丸,外科用药 ,国家
麝香痔疮栓,外科用药 ,国家
五黄膏,外科用药 ,国家
湛江蛇药,外科用药 ,国家
肛泰栓,外科用药 ,国家
消炎止痛膏,外科用药 ,国家
胆舒软胶囊,外科用药 ,国家
季德胜蛇药片,外科用药 ,国家
肤痔清软膏,外科用药 ,国家
连柏烧伤膏,外科用药 ,国家
牛黄醒消丸,外科用药 ,国家
五福化毒丸,外科用药 ,国家
小败毒膏,外科用药 ,国家
马应龙麝香痔疮膏,外科用药 ,国家
九华膏,外科用药 ,国家
宫瘤消胶囊,妇科用药 ,国家
红金消结片,妇科用药 ,国家
乳宁丸,妇科用药 ,国家
乳增宁片,妇科用药 ,国家
宫瘤清胶囊,妇科用药 ,国家
乳块消片,妇科用药 ,国家
乳宁胶囊,妇科用药 ,国家
拨云退翳丸,眼科用药 ,国家
珍珠明目滴眼液,眼科用药 ,国家
金花明目丸,眼科用药 ,国家
石斛夜光颗粒,眼科用药 ,国家
乳康丸,妇科用药 ,国家
乳癖消丸,妇科用药 ,国家
岩鹿乳康片,妇科用药 ,国家
乳康胶囊,妇科用药 ,国家
乳块消胶囊,妇科用药 ,国家
乳增宁胶囊,妇科用药 ,国家
麝珠明目滴眼液,眼科用药 ,国家
复明片,眼科用药 ,国家
芪明颗粒,眼科用药 ,国家
鲜益母草胶囊,妇科用药 ,国家
坤复康片,妇科用药 ,国家
田七痛经胶囊,妇科用药 ,国家
痛经宝颗粒,妇科用药 ,国家
舒尔经颗粒,妇科用药 ,国家
茜芷胶囊,妇科用药 ,国家
茜芷片,妇科用药 ,国家
断血流颗粒,妇科用药 ,国家
花红片,妇科用药 ,国家
金刚藤丸,妇科用药 ,国家
抗宫炎片,妇科用药 ,国家
生化丸,妇科用药 ,国家
调经活血片,妇科用药 ,国家
益母草胶囊,妇科用药 ,国家
新生化颗粒,妇科用药 ,国家
断血流片,妇科用药 ,国家
血平片,妇科用药 ,国家
宫炎平片,妇科用药 ,国家
妇炎舒片,妇科用药 ,国家
康妇炎胶囊,妇科用药 ,国家
妇科千金胶囊,妇科用药 ,国家
金刚藤颗粒,妇科用药 ,国家
抗宫炎胶囊,妇科用药 ,国家
妇炎平栓,妇科用药 ,国家
复方沙棘籽油栓,妇科用药 ,国家
康妇消炎栓,妇科用药 ,国家
八珍益母丸,妇科用药 ,国家
乌鸡白凤丸,妇科用药 ,国家
更年安丸,妇科用药 ,国家
女金片,妇科用药 ,国家
乳癖消片,妇科用药 ,国家
金刚藤糖浆,妇科用药 ,国家
盆炎净胶囊,妇科用药 ,国家
妇阴康洗剂,妇科用药 ,国家
宫颈炎康栓,妇科用药 ,国家
苦参软膏,妇科用药 ,国家
更年安片,妇科用药 ,国家
地贞颗粒,妇科用药 ,国家
女珍颗粒,妇科用药 ,国家
女金胶囊,妇科用药 ,国家
复明胶囊,眼科用药 ,国家
复方血栓通胶囊,眼科用药 ,国家
夏天无眼药水,眼科用药 ,国家
耳聋丸,耳鼻喉科用药 ,国家
鼻窦炎口服液,耳鼻喉科用药 ,国家
鼻炎滴剂,耳鼻喉科用药 ,国家
香菊胶囊,耳鼻喉科用药 ,国家
清咽滴丸,耳鼻喉科用药 ,国家
川射干黄酮胶囊,耳鼻喉科用药 ,国家
喉咽清颗粒,耳鼻喉科用药 ,国家
开喉剑喷雾剂,耳鼻喉科用药 ,国家
丹红化瘀口服液,眼科用药 ,国家
复方血栓通软胶囊,眼科用药 ,国家
鼻炎康片,耳鼻喉科用药 ,国家
鼻炎片,耳鼻喉科用药 ,国家
辛芩片,耳鼻喉科用药 ,国家
通窍鼻炎颗粒,耳鼻喉科用药 ,国家
北豆根胶囊,耳鼻喉科用药 ,国家
甘桔冰梅片,耳鼻喉科用药 ,国家
金嗓开音丸,耳鼻喉科用药 ,国家
七厘胶囊,骨伤科用药 ,国家
云南白药胶囊,骨伤科用药 ,国家
红药贴膏,骨伤科用药 ,国家
红药气雾剂,骨伤科用药 ,国家
腰痹通胶囊,骨伤科用药 ,国家
腰痛宁胶囊,骨伤科用药 ,国家
骨通贴膏,骨伤科用药 ,国家
麝香追风止痛膏,骨伤科用药 ,国家
治伤软膏,骨伤科用药 ,国家
芪骨胶囊,骨伤科用药 ,国家
藤黄健骨丸,骨伤科用药 ,国家
龙血竭胶囊,骨伤科用药 ,国家
云南白药气雾剂,骨伤科用药 ,国家
舒筋活血丸,骨伤科用药 ,国家
活络丸,骨伤科用药 ,国家
骨刺宁胶囊,骨伤科用药 ,国家
活血止痛膏,骨伤科用药 ,国家
展筋活血散,骨伤科用药 ,国家
骨刺丸,骨伤科用药 ,国家
强骨胶囊,骨伤科用药 ,国家
六神胶囊,耳鼻喉科用药 ,国家
梅花点舌丸,耳鼻喉科用药 ,国家
咽立爽口含滴丸,耳鼻喉科用药 ,国家
金嗓开音胶囊,耳鼻喉科用药 ,国家
金嗓散结片,耳鼻喉科用药 ,国家
丁细牙痛胶囊,耳鼻喉科用药 ,国家
跌打丸,骨伤科用药 ,国家
跌打活血散,骨伤科用药 ,国家
骨折挫伤胶囊,骨伤科用药 ,国家
愈伤灵胶囊,骨伤科用药 ,国家
接骨七厘片,骨伤科用药 ,国家
清喉咽颗粒,耳鼻喉科用药 ,国家
粘膜溃疡散,耳鼻喉科用药 ,国家
金嗓开音颗粒,耳鼻喉科用药 ,国家
梅花点舌胶囊,耳鼻喉科用药 ,国家
口腔炎气雾剂,耳鼻喉科用药 ,国家
伤科接骨片,骨伤科用药 ,国家
跌打七厘散,骨伤科用药 ,国家
龙血竭散,骨伤科用药 ,国家
云南红药胶囊,骨伤科用药 ,国家
小儿百寿丸,内科用药 ,国家
小儿宝泰康颗粒,内科用药 ,国家
银翘解毒颗粒,内科用药 ,国家
桑菊感冒片,内科用药 ,国家
芎菊上清片,内科用药 ,国家
防风通圣丸,内科用药 ,国家
小柴胡颗粒,内科用药 ,国家
小儿双清颗粒,内科用药 ,国家
参苏胶囊,内科用药 ,国家
保济口服液,内科用药 ,国家
甘露消毒丸,内科用药 ,国家
银翘解毒片,内科用药 ,国家
柴银口服液,内科用药 ,国家
维C银翘颗粒,内科用药 ,国家
重感灵胶囊,内科用药 ,国家
小柴胡丸,内科用药 ,国家
小柴胡汤丸,内科用药 ,国家
参苏片,内科用药 ,国家
藿香正气水,内科用药 ,国家
藿香正气软胶囊,内科用药 ,国家
通便灵胶囊,内科用药 ,国家
新复方芦荟胶囊,内科用药 ,国家
麻仁丸,内科用药 ,国家
麻仁胶囊,内科用药 ,国家
厚朴排气合剂,内科用药 ,国家
一清片,内科用药 ,国家
牛黄解毒胶囊,内科用药 ,国家
当归龙荟片,内科用药 ,国家
一清颗粒,内科用药 ,国家
清开灵片,内科用药 ,国家
穿心莲内酯胶囊,内科用药 ,国家
三黄丸,内科用药 ,国家
麻仁滋脾丸,内科用药 ,国家
麻仁软胶囊,内科用药 ,国家
牛黄清胃丸,内科用药 ,国家
牛黄解毒片,内科用药 ,国家
牛黄上清胶囊,内科用药 ,国家
上清胶囊,内科用药 ,国家
穿心莲片,内科用药 ,国家
板蓝根片,内科用药 ,国家
壮骨关节丸,骨伤科用药 ,国家
壮骨止痛胶囊,骨伤科用药 ,国家
藤黄健骨片,骨伤科用药 ,国家
疤痕止痒软化乳膏,皮肤科用药 ,国家
复方青黛片,皮肤科用药 ,国家
柴胡注射液,内科用药 ,国家
疏风解毒胶囊,内科用药 ,国家
银翘解毒丸,内科用药 ,国家
儿感退热宁颗粒,内科用药 ,国家
桑菊感冒丸,内科用药 ,国家
维C银翘片,内科用药 ,国家
骨刺胶囊,骨伤科用药 ,国家
仙灵骨葆颗粒,骨伤科用药 ,国家
除湿止痒软膏,皮肤科用药 ,国家
正柴胡饮合剂,内科用药 ,国家
感冒清热颗粒,内科用药 ,国家
双黄连片,内科用药 ,国家
柴黄片,内科用药 ,国家
牛黄清感胶囊,内科用药 ,国家
双黄连注射液,内科用药 ,国家
清瘟解毒片,内科用药 ,国家
夏枯草口服液,内科用药 ,国家
小儿清热利肺口服液,内科用药 ,国家
连花清瘟胶囊,内科用药 ,国家
清肺抑火片,内科用药 ,国家
银黄口服液,内科用药 ,国家
益肝灵片,内科用药 ,国家
肝爽颗粒,内科用药 ,国家
利肝隆片,内科用药 ,国家
茵莲清肝颗粒,内科用药 ,国家
复方益肝灵胶囊,内科用药 ,国家
新清宁胶囊,内科用药 ,国家
鱼腥草注射液,内科用药 ,国家
连花清瘟颗粒,内科用药 ,国家
清肺抑火胶囊,内科用药 ,国家
护肝片,内科用药 ,国家
澳泰乐片,内科用药 ,国家
护肝宁丸,内科用药 ,国家
乙肝健片,内科用药 ,国家
澳泰乐胶囊,内科用药 ,国家
胆木浸膏片,内科用药 ,国家
冬凌草片,内科用药 ,国家
复方双花片,内科用药 ,国家
桂黄清热颗粒,内科用药 ,国家
金叶败毒颗粒,内科用药 ,国家
清开灵软胶囊,内科用药 ,国家
清瘟解毒丸,内科用药 ,国家
炎宁糖浆,内科用药 ,国家
清热解毒颗粒,内科用药 ,国家
金莲花颗粒,内科用药 ,国家
抗病毒胶囊,内科用药 ,国家
复方板蓝根颗粒,内科用药 ,国家
复方银花解毒颗粒,内科用药 ,国家
解毒活血栓,内科用药 ,国家
抗病毒丸,内科用药 ,国家
清热解毒注射液,内科用药 ,国家
热毒宁注射液,内科用药 ,国家
清热解毒胶囊,内科用药 ,国家
小儿化毒胶囊,内科用药 ,国家
金莲花软胶囊,内科用药 ,国家
五酯片,内科用药 ,国家
五酯颗粒,内科用药 ,国家
乙肝清热解毒颗粒,内科用药 ,国家
参芪肝康片,内科用药 ,国家
金黄利胆胶囊,内科用药 ,国家
茵栀黄片,内科用药 ,国家
龙胆泻肝颗粒,内科用药 ,国家
垂盆草颗粒,内科用药 ,国家
当飞利肝宁胶囊,内科用药 ,国家
黄厚止泻滴丸,内科用药 ,国家
泻停胶囊,内科用药 ,国家
乙肝健胶囊,内科用药 ,国家
龙胆泻肝丸,内科用药 ,国家
胆胃康胶囊,内科用药 ,国家
胰胆舒胶囊,内科用药 ,国家
龙胆泻肝胶囊,内科用药 ,国家
参芪肝康胶囊,内科用药 ,国家
大黄利胆胶囊,内科用药 ,国家
肠胃舒胶囊,内科用药 ,国家
克痢痧胶囊,内科用药 ,国家
香连片,内科用药 ,国家
香连胶囊,内科用药 ,国家
葛根芩连胶囊,内科用药 ,国家
珠珀猴枣散,内科用药 ,国家
新雪颗粒,内科用药 ,国家
桂附理中丸,内科用药 ,国家
理中片,内科用药 ,国家
乌梅丸,内科用药 ,国家
四逆汤,内科用药 ,国家
通宣理肺丸,内科用药 ,国家
通宣理肺口服液,内科用药 ,国家
葛根芩连片,内科用药 ,国家
葛根芩连口服液,内科用药 ,国家
新雪胶囊,内科用药 ,国家
理中丸,内科用药 ,国家
黄芪建中丸,内科用药 ,国家
良附丸,内科用药 ,国家
参附注射液,内科用药 ,国家
四逆散,内科用药 ,国家
保宁半夏颗粒,内科用药 ,国家
川贝枇杷糖浆,内科用药 ,国家
蛇胆川贝软胶囊,内科用药 ,国家
小儿咳喘灵合剂,内科用药 ,国家
小儿肺热咳喘颗粒,内科用药 ,国家
止嗽化痰颗粒,内科用药 ,国家
蜜炼川贝枇杷膏,内科用药 ,国家
二母宁嗽片,内科用药 ,国家
养阴清肺颗粒,内科用药 ,国家
桂龙咳喘宁片,内科用药 ,国家
固肾定喘丸,内科用药 ,国家
苏子降气丸,内科用药 ,国家
小儿咳喘灵口服液,内科用药 ,国家
止咳橘红颗粒,内科用药 ,国家
止嗽化痰胶囊,内科用药 ,国家
小儿金丹片,内科用药 ,国家
养阴清肺膏,内科用药 ,国家
二母宁嗽颗粒,内科用药 ,国家
养阴清肺口服液,内科用药 ,国家
固本咳喘片,内科用药 ,国家
蛤蚧定喘胶囊,内科用药 ,国家
消咳喘片,内科用药 ,国家
金荞麦片,内科用药 ,国家
祛痰灵口服液,内科用药 ,国家
蛇胆陈皮液,内科用药 ,国家
蛇胆陈皮片,内科用药 ,国家
止咳片,内科用药 ,国家
百蕊颗粒,内科用药 ,国家
金振口服液,内科用药 ,国家
芩暴红止咳颗粒,内科用药 ,国家
矽肺宁片,内科用药 ,国家
川贝枇杷颗粒,内科用药 ,国家
强力枇杷膏,内科用药 ,国家
祛痰止咳胶囊,内科用药 ,国家
治咳川贝枇杷露,内科用药 ,国家
金荞麦胶囊,内科用药 ,国家
苏黄止咳胶囊,内科用药 ,国家
复方鲜竹沥液,内科用药 ,国家
牛黄蛇胆川贝液,内科用药 ,国家
清气化痰丸,内科用药 ,国家
橘红片,内科用药 ,国家
刺五加颗粒,内科用药 ,国家
十一味参芪胶囊,内科用药 ,国家
安胃疡胶囊,内科用药 ,国家
六君子丸,内科用药 ,国家
延参健胃胶囊,内科用药 ,国家
健脾生血颗粒,内科用药 ,国家
养阴生血合剂,内科用药 ,国家
维血宁,内科用药 ,国家
八珍片,内科用药 ,国家
当归调经颗粒,内科用药 ,国家
四物胶囊,内科用药 ,国家
四君子颗粒,内科用药 ,国家
健脾生血片,内科用药 ,国家
启脾丸,内科用药 ,国家
养胃片,内科用药 ,国家
八珍丸,内科用药 ,国家
地榆升白片,内科用药 ,国家
再造生血片,内科用药 ,国家
八珍胶囊,内科用药 ,国家
地榆升白胶囊,内科用药 ,国家
哮喘丸,内科用药 ,国家
固本咳喘颗粒,内科用药 ,国家
小儿消积止咳颗粒,内科用药 ,国家
紫雪颗粒,内科用药 ,国家
痫愈胶囊,内科用药 ,国家
参倍固肠胶囊,内科用药 ,国家
痛泻宁颗粒,内科用药 ,国家
固肠止泻胶囊,内科用药 ,国家
补中益气丸,内科用药 ,国家
刺五加注射液,内科用药 ,国家
刺五加胶囊,内科用药 ,国家
咳喘宁颗粒,内科用药 ,国家
安宫牛黄丸,内科用药 ,国家
礞石滚痰丸,内科用药 ,国家
金锁固精丸,内科用药 ,国家
涩肠止泻散,内科用药 ,国家
小儿腹泻散,内科用药 ,国家
缩泉丸,内科用药 ,国家
参芪十一味片,内科用药 ,国家
四君子丸,内科用药 ,国家
四物颗粒,内科用药 ,国家
益气维血胶囊,内科用药 ,国家
六味地黄丸,内科用药 ,国家
补肾固齿丸,内科用药 ,国家
麦味地黄丸,内科用药 ,国家
左归丸,内科用药 ,国家
补肺活血胶囊,内科用药 ,国家
六味五灵片,内科用药 ,国家
天麻醒脑胶囊,内科用药 ,国家
四神丸,内科用药 ,国家
桂附地黄胶囊,内科用药 ,国家
再造生血胶囊,内科用药 ,国家
知柏地黄丸,内科用药 ,国家
大补阴丸,内科用药 ,国家
知柏地黄片,内科用药 ,国家
麦味地黄片,内科用药 ,国家
杞菊地黄丸,内科用药 ,国家
慢肝养阴片,内科用药 ,国家
阴虚胃痛片,内科用药 ,国家
四神片,内科用药 ,国家
安神补脑颗粒,内科用药 ,国家
朱砂安神丸,内科用药 ,国家
三七片,内科用药 ,国家
三七胶囊,内科用药 ,国家
裸花紫珠胶囊,内科用药 ,国家
麝香保心丸,内科用药 ,国家
补心气口服液,内科用药 ,国家
归芪活血胶囊,内科用药 ,国家
脑脉泰胶囊,内科用药 ,国家
肾衰宁片,内科用药 ,国家
愈心痛胶囊,内科用药 ,国家
槐角丸,内科用药 ,国家
止血镇痛胶囊,内科用药 ,国家
独一味胶囊,内科用药 ,国家
十灰丸,内科用药 ,国家
通心络片,内科用药 ,国家
复方地龙片,内科用药 ,国家
脉络通,内科用药 ,国家
脑心通丸,内科用药 ,国家
心灵丸,内科用药 ,国家
益脑胶囊,内科用药 ,国家
参麦注射液,内科用药 ,国家
生脉颗粒,内科用药 ,国家
益心宁神片,内科用药 ,国家
柏子养心片,内科用药 ,国家
安神补心片,内科用药 ,国家
枣仁安神颗粒,内科用药 ,国家
参芪五味子胶囊,内科用药 ,国家
养血安神颗粒,内科用药 ,国家
安神补脑片,内科用药 ,国家
乌灵胶囊,内科用药 ,国家
生脉胶囊,内科用药 ,国家
天王补心丸,内科用药 ,国家
枣仁安神胶囊,内科用药 ,国家
柏子养心胶囊,内科用药 ,国家
安神补心颗粒,内科用药 ,国家
七叶神安片,内科用药 ,国家
养血安神片,内科用药 ,国家
舒眠胶囊,内科用药 ,国家
补脑安神片,内科用药 ,国家
桂附地黄颗粒,内科用药 ,国家
复方苁蓉益智胶囊,内科用药 ,国家
养心定悸胶囊,内科用药 ,国家
养心定悸颗粒,内科用药 ,国家
补肾益脑胶囊,内科用药 ,国家
金芪降糖丸,内科用药 ,国家
生脉片(党参方),内科用药 ,国家
天芪降糖胶囊,内科用药 ,国家
虚汗停胶囊,内科用药 ,国家
金芪降糖片,内科用药 ,国家
芪冬颐心口服液,内科用药 ,国家
生血宝颗粒,内科用药 ,国家
强肝胶囊,内科用药 ,国家
补肾益脑丸,内科用药 ,国家
玉泉丸,内科用药 ,国家
芪冬颐心颗粒,内科用药 ,国家
十味玉泉片,内科用药 ,国家
心通颗粒,内科用药 ,国家
参芪降糖颗粒,内科用药 ,国家
金芪降糖胶囊,内科用药 ,国家
冠心丹参颗粒,内科用药 ,国家
乐脉颗粒,内科用药 ,国家
丹参益心胶囊,内科用药 ,国家
银丹心泰滴丸,内科用药 ,国家
丹参滴丸,内科用药 ,国家
双丹胶囊,内科用药 ,国家
通塞脉片,内科用药 ,国家
丹鹿通督片,内科用药 ,国家
心可宁胶囊,内科用药 ,国家
脉平片,内科用药 ,国家
注射用丹参多酚酸盐,内科用药 ,国家
脑得生颗粒,内科用药 ,国家
丹红注射液,内科用药 ,国家
丹参胶囊,内科用药 ,国家
丹七胶囊,内科用药 ,国家
双丹颗粒,内科用药 ,国家
脉络宁口服液,内科用药 ,国家
培元通脑胶囊,内科用药 ,国家
正心泰胶囊,内科用药 ,国家
愈风宁心丸,内科用药 ,国家
血栓心脉宁胶囊,内科用药 ,国家
冠心静胶囊,内科用药 ,国家
脑心通片,内科用药 ,国家
