内科用药 ,国家
狗皮膏制剂,骨伤科用药 ,国家
骨痛灵酊,骨伤科用药 ,国家
仙灵骨葆胶囊,骨伤科用药 ,国家
骨仙片,骨伤科用药 ,国家
抗骨质增生丸,骨伤科用药 ,国家
抗骨增生颗粒,骨伤科用药 ,国家
白灵片,皮肤科用药 ,国家
复方紫草油,皮肤科用药 ,国家
金蝉止痒胶囊,皮肤科用药 ,国家
阿德福韦酯,抗微生物药物 [口服常释剂型],国家
顺苯磺阿曲库铵,麻醉用药物 [注射剂],国家
壮骨麝香止痛膏,骨伤科用药 ,国家
复方杜仲健骨颗粒,骨伤科用药 ,国家
骨愈灵片,骨伤科用药 ,国家
骨刺片,骨伤科用药 ,国家
壮骨关节胶囊,骨伤科用药 ,国家
肤痒颗粒,皮肤科用药 ,国家
黑豆馏油软膏,皮肤科用药 ,国家
帕司烟肼（对氨基水杨酸异烟肼）,抗微生物药物 [口服常释剂型],国家
利奈唑胺（利奈唑胺葡萄糖）,抗微生物药物 [口服常释剂型],国家
阿司匹林,血液和造血器官药 [缓释控释剂型;肠溶缓释片],国家
沙格雷酯,血液和造血器官药 [口服常释剂型],国家
西洛他唑,血液和造血器官药 [口服常释剂型],国家
尿激酶,血液和造血器官药 [注射剂],国家
蚓激酶,血液和造血器官药 [口服常释剂型],国家
利伐沙班,血液和造血器官药 [口服常释剂型],国家
氨甲苯酸,血液和造血器官药 [口服常释剂型],国家
氨甲环酸,血液和造血器官药 [注射剂],国家
氨基己酸氯化钠,血液和造血器官药 [注射剂],国家
尖吻蝮蛇血凝酶,血液和造血器官药 [注射剂],国家
卡络磺钠氯化钠,血液和造血器官药 [注射剂],国家
双嘧达莫,血液和造血器官药 [注射剂],国家
吲哚布芬,血液和造血器官药 [口服常释剂型],国家
纤溶酶,血液和造血器官药 [注射剂],国家
磺达肝癸钠,血液和造血器官药 [注射剂],国家
阿魏酸哌嗪,血液和造血器官药 [口服常释剂型],国家
氨甲苯酸,血液和造血器官药 [注射剂],国家
氨基己酸,血液和造血器官药 [注射剂],国家
凝血酶,血液和造血器官药 [外用冻干制剂],国家
卡络磺钠,血液和造血器官药 [注射剂],国家
氨麻美敏（Ⅱ）,解热镇痛及非甾体抗炎药物 [片剂],国家
氨麻美敏（Ⅲ）,解热镇痛及非甾体抗炎药物 [片剂],国家
氨酚伪麻美芬（Ⅱ）与苯酚伪麻,解热镇痛及非甾体抗炎药物 [片剂],国家
注射用尤瑞克林, [注射剂],国家
盐酸埃罗替尼片, [片剂],国家
注射用英夫利西单抗, [注射剂],国家
十味玉泉胶囊（片）,内科用药 [片剂],国家
注射用重组人尿激酶原,血液和造血器官药 [注射剂],国家
阿利沙坦酯片,心血管系统 [口服常释剂型],国家
贝伐珠单抗注射液,抗肿瘤药及免疫调节剂 [注射剂],国家
甲苯磺酸拉帕替尼片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
氨酚伪麻美芬（Ⅲ）,解热镇痛及非甾体抗炎药物 [片剂],国家
氨酚伪麻那敏,解热镇痛及非甾体抗炎药物 [分散片],国家
波生坦片, [片剂],国家
西妥昔单抗注射液, [注射剂],国家
碘普罗胺（碘普胺）,诊断用药物 [注射剂],国家
虚汗停颗粒（胶囊）,内科用药 [胶囊],国家
托伐普坦片,心血管系统 [口服常释剂型],国家
注射用曲妥珠单抗,抗肿瘤药及免疫调节剂 [注射剂],国家
甲苯磺酸索拉非尼片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
维生素D3,消化道和代谢方面的药物 [注射剂],国家
骨化三醇,消化道和代谢方面的药物 [注射剂],国家
碳酸钙D3,消化道和代谢方面的药物 [口服常释剂型;颗粒剂],国家
维生素C,消化道和代谢方面的药物 [口服常释剂型],国家
烟酰胺,消化道和代谢方面的药物 [口服常释剂型],国家
氯化钾,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型;颗粒剂],国家
醋酸钙,消化道和代谢方面的药物 [口服常释剂型],国家
葡萄糖酸钙,消化道和代谢方面的药物 [颗粒剂],国家
茴三硫,消化道和代谢方面的药物 [口服常释剂型],国家
肝素,血液和造血器官药 [封管液],国家
双嘧达莫,血液和造血器官药 [口服常释剂型],国家
水溶性维生素,消化道和代谢方面的药物 [注射剂],国家
维生素B1,消化道和代谢方面的药物 [口服常释剂型],国家
维生素D3,消化道和代谢方面的药物 [口服常释剂型],国家
脂溶性维生素Ⅱ,消化道和代谢方面的药物 [注射剂],国家
葡萄糖酸钙,消化道和代谢方面的药物 [口服常释剂型],国家
门冬氨酸钾镁,消化道和代谢方面的药物 [口服常释剂型],国家
碳酸钙,消化道和代谢方面的药物 [口服常释剂型;颗粒剂],国家
华法林,血液和造血器官药 [口服常释剂型],国家
依诺肝素钠,血液和造血器官药 [注射剂],国家
补液盐Ⅰ,消化道和代谢方面的药物 [口服散剂],国家
补液盐Ⅱ,消化道和代谢方面的药物 [口服散剂],国家
枯草杆菌、肠球菌二联活菌,消化道和代谢方面的药物 [口服常释剂型],国家
米曲菌胰酶,消化道和代谢方面的药物 [口服常释剂型],国家
动物源预混胰岛素,消化道和代谢方面的药物 [注射剂],国家
长效胰岛素类似物,消化道和代谢方面的药物 [注射剂],国家
格列喹酮,消化道和代谢方面的药物 [口服常释剂型],国家
罗格列酮,消化道和代谢方面的药物 [口服常释剂型],国家
利格列汀,消化道和代谢方面的药物 [口服常释剂型],国家
维格列汀,消化道和代谢方面的药物 [口服常释剂型],国家
维生素B2,消化道和代谢方面的药物 [口服常释剂型],国家
复方地芬诺酯,消化道和代谢方面的药物 [口服常释剂型],国家
双歧杆菌乳杆菌三联活菌,消化道和代谢方面的药物 [口服常释剂型],国家
短效胰岛素类似物,消化道和代谢方面的药物 [注射剂],国家
精蛋白锌胰岛素,消化道和代谢方面的药物 [注射剂],国家
格列美脲,消化道和代谢方面的药物 [口服常释剂型],国家
吡格列酮,消化道和代谢方面的药物 [口服常释剂型],国家
阿格列汀,消化道和代谢方面的药物 [口服常释剂型],国家
沙格列汀,消化道和代谢方面的药物 [口服常释剂型],国家
瑞格列奈,消化道和代谢方面的药物 [口服常释剂型],国家
颠茄,消化道和代谢方面的药物 [口服常释剂型;口服液体剂],国家
山莨菪碱,消化道和代谢方面的药物 [口服常释剂型],国家
东莨菪碱,消化道和代谢方面的药物 [口服常释剂型],国家
溴米那普鲁卡因,消化道和代谢方面的药物 [注射剂],国家
托烷司琼,消化道和代谢方面的药物 [注射剂],国家
复方甘草甜素,消化道和代谢方面的药物 [口服常释剂型],国家
谷胱甘肽,消化道和代谢方面的药物 [口服常释剂型],国家
异甘草酸镁,消化道和代谢方面的药物 [注射剂],国家
复方聚乙二醇电解质(Ⅱ),消化道和代谢方面的药物 [口服散剂],国家
小檗碱,消化道和代谢方面的药物 [口服常释剂型],国家
药用炭,消化道和代谢方面的药物 [口服常释剂型;口服散剂],国家
山莨菪碱,消化道和代谢方面的药物 [注射剂],国家
甲氧氯普胺,消化道和代谢方面的药物 [注射剂],国家
帕洛诺司琼,消化道和代谢方面的药物 [注射剂],国家
促肝细胞生长素,消化道和代谢方面的药物 [注射剂],国家
复方甘草甜素,消化道和代谢方面的药物 [注射剂],国家
葡醛内酯,消化道和代谢方面的药物 [口服常释剂型],国家
硫酸镁,消化道和代谢方面的药物 [口服散剂;口服液体剂],国家
液状石蜡,消化道和代谢方面的药物 [口服液体剂],国家
利福昔明,消化道和代谢方面的药物 [口服常释剂型;口服液体剂],国家
甲磺酸阿帕替尼片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
氟维司群注射液,抗肿瘤药及免疫调节剂 [注射剂],国家
来那度胺胶囊,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
雷珠单抗注射液,眼科用药 [注射剂],国家
银杏内酯注射液,内科用药 [注射剂],国家
参一胶囊,抗肿瘤药及免疫调节剂 [胶囊剂],国家
糠甾醇,消化道和代谢方面的药物 [口服常释剂型],国家
碳酸氢钠,消化道和代谢方面的药物 [口服常释剂型],国家
兰索拉唑,消化道和代谢方面的药物 [注射剂],国家
吉法酯,消化道和代谢方面的药物 [口服常释剂型],国家
曲匹布通,消化道和代谢方面的药物 [口服常释剂型],国家
注射用重组人干扰素β-1b,抗肿瘤药及免疫调节剂 [注射剂],国家
喹硫平缓释片,神经系统药物 [缓释控释剂型],国家
银杏二萜内酯葡胺注射液,内科用药 [注射剂],国家
注射用黄芪多糖,抗肿瘤药及免疫调节剂 [注射剂],国家
复方硼砂,消化道和代谢方面的药物 [外用液体剂],国家
复方氢氧化铝,消化道和代谢方面的药物 [口服常释剂型],国家
法莫替丁,消化道和代谢方面的药物 [注射剂],国家
雷贝拉唑,消化道和代谢方面的药物 [口服常释剂型],国家
二甲硅油,消化道和代谢方面的药物 [口服常释剂型;口服散剂],国家
洛伐他汀,心血管系统 [口服常释剂型],国家
