乌鸡白凤软胶囊, ,福建
宫血停颗粒, ,福建
脑栓康复胶囊, ,福建
参柴颗粒, ,福建
冠心泰丸, ,福建
仙桃草片, ,福建
茵白肝炎胶囊, ,福建
伊马替尼, [口服常释剂型],福建
二维三七桂利嗪, [口服常释剂型],福建
宫宁颗粒, ,福建
楼莲胶囊, ,福建
红金消结胶囊, ,福建
赛胃安胶囊, ,福建
心脉隆注射液, ,福建
金牡感冒片, ,福建
参仙升脉口服液, ,福建
肝络欣丸, ,福建
伊班膦酸, [注射剂],福建
异丙嗪, [口服液体剂],福建
枸地氯雷他定, [口服常释剂型],福建
长春胺, [缓释控释剂型],福建
香菇多糖, [注射剂;口服常释剂型],福建
薄芝糖肽, [注射剂],福建
水杨酸甲酯, [气雾剂],福建
补益强心片, ,福建
通脉降糖胶囊, ,福建
橘红梨膏, ,福建
甘草酸铋, [口服散剂],甘肃
尼扎替丁, [口服常释剂型],甘肃
脑蛋白水解物, [注射剂],福建
脾氨肽, [口服散剂],福建
小牛血去蛋白提取物, [注射剂],福建
匹多莫德, [口服常释剂型],福建
复方雪莲烧伤膏, [软膏剂],福建
渴络欣胶囊, ,福建
珠珀惊风散, ,福建
麝香正骨酊, ,福建
枸椽酸铋钾/替硝唑/克拉霉素, [口服常释剂型],甘肃
胸腺蛋白, [口服液体剂],甘肃
复方谷氨酰胺, [口服常释剂型],甘肃
猴头菌提取物, [颗粒剂],甘肃
枸地氯雷他定, [口服常释剂型],甘肃
三磷酸胞苷二钠, [注射剂],甘肃
脱氧核苷酸钠, [注射剂],甘肃
加替沙星, [眼用凝胶],甘肃
奥洛他定, [滴眼剂],甘肃
阿魏酸钠葡萄糖, [注射剂],甘肃
复方硫酸亚铁叶酸, [口服常释剂型],甘肃
甲砜霉素甘氨酸酯, [注射剂],甘肃
尼可地尔, [口服常释剂型],甘肃
细辛脑, [注射剂],甘肃
脑苷肌肽, [注射剂],甘肃
重组改构人肿瘤坏死因子, [注射剂],甘肃
门冬氨酸钾, [注射剂],甘肃
他卡西醇, [软膏剂],甘肃
二丁酰环磷腺苷钙, [注射剂],甘肃
咖啡酸, [口服常释剂型],甘肃
汉防己甲素, [注射剂],甘肃
牛痘疫苗致炎兔皮提取物, [注射剂],甘肃
氟吡汀, [口服常释剂型],甘肃
高乌甲素, [注射剂],甘肃
双醋瑞因, [口服常释剂型],甘肃
阿莫西林舒巴坦匹酯, [口服常释剂型],甘肃
头孢匹胺, [注射剂],甘肃
铜绿假单胞菌, [注射剂],甘肃
复方氨基酸（8-11）, [口服常释剂型],甘肃
胎盘多肽, [注射剂],甘肃
注射用黄芪多糖, ,福建
竹沥胶囊, ,福建
氯普鲁卡因, [注射剂],甘肃
地佐辛, [注射剂],甘肃
头孢特仑新戊酯, [口服常释剂型],甘肃
氨苄西林氯唑西林, [注射剂],甘肃
氟尿嘧啶, [植入剂],甘肃
短棒状杆菌制剂, [注射剂],甘肃
氨基酸葡萄糖, [注射剂],甘肃
米格列醇, [口服常释剂型],甘肃
猴头菌片, ,福建
金利油软胶囊, ,福建
麝香镇痛膏, ,福建
仙璐贝滴剂, ,福建
复方片仔癀软膏, ,福建
胜红清热胶囊, ,福建
复方血栓通滴丸（软胶囊）, ,福建
溶栓胶囊, ,福建
血塞通滴丸, ,福建
元胡胃舒片, ,福建
和胃降逆胶囊, ,福建
灯盏花素滴丸, ,福建
红药气雾剂, ,福建
山香圆颗粒, ,福建
八味秦皮丸, ,福建
志苓胶囊, ,福建
蛭蛇通络胶囊, ,福建
血必净注射液, ,福建
胃乐宁片, ,福建
金胃泰胶囊, ,福建
大株红景天注射液, ,福建
心胃止痛胶囊, ,福建
老范志万应神曲, ,福建
清肝颗粒, ,福建
正露丸, ,福建
满山白糖浆（胶囊）, ,福建
舒肝宁注射液, ,福建
四季草颗粒, ,福建
片仔癀胶囊, ,福建
雷莫司琼, [注射剂],甘肃
氟脲苷, [注射剂],福建
丙戊酸钠, [口服液体剂],福建
肝炎灵注射液, ,福建
六一散, ,福建
注射用益气复脉(冻干), ,福建
三子止咳胶囊, ,福建
前列通瘀胶囊, ,福建
肾衰宁胶囊, ,福建
双黄连含片, ,福建
腺苷蛋氨酸, [口服常释剂型],甘肃
重组人血管内皮抑制素, [注射剂],福建
脑苷肌肽, [注射剂],福建
抗乙型肝炎胎盘转移因子, [注射剂],福建
重组人干扰素γ, [注射剂],福建
胸腺五肽, [注射剂],福建
软脉灵口服液, ,福建
抗痨胶囊, ,福建
灵芝胶囊, ,福建
清热止咳颗粒, ,福建
头痛定糖浆, ,福建
甲硫氨酸维B1, [注射剂],福建
藻酸双酯钠, [口服常释剂型;注射剂],福建
A群链球菌, [注射剂],福建
小牛脾提取物, [注射剂],福建
多糖蛋白, [口服常释剂型],福建
益肾健骨片, ,福建
